PoloniexChartData [date=Wed Jun 29 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=7.0E-8, close=6.0E-8, volume=1.88648742, quoteVolume=28210847.490633, weightedAverage=6.0E-8]
PoloniexChartData [date=Thu Jun 30 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=7.0E-8, close=6.0E-8, volume=2.92632678, quoteVolume=45225105.13328, weightedAverage=6.0E-8]
PoloniexChartData [date=Fri Jul 01 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=6.0E-8, close=7.0E-8, volume=3.00863348, quoteVolume=45399306.219994, weightedAverage=6.0E-8]
PoloniexChartData [date=Sat Jul 02 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=6.0E-8, close=7.0E-8, volume=0.9800263, quoteVolume=15456338.861619, weightedAverage=6.0E-8]
PoloniexChartData [date=Sun Jul 03 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=6.0E-8, close=6.0E-8, volume=0.6603487, quoteVolume=9678851.4002865, weightedAverage=6.0E-8]
PoloniexChartData [date=Mon Jul 04 20:00:00 EDT 2016, high=1.0E-7, low=6.0E-8, open=6.0E-8, close=8.0E-8, volume=38.41986816, quoteVolume=454421326.18761, weightedAverage=8.0E-8]
PoloniexChartData [date=Tue Jul 05 20:00:00 EDT 2016, high=1.0E-7, low=6.0E-8, open=8.0E-8, close=7.0E-8, volume=14.25679951, quoteVolume=179284625.94053, weightedAverage=7.0E-8]
PoloniexChartData [date=Wed Jul 06 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=7.0E-8, close=6.0E-8, volume=4.89325255, quoteVolume=73275977.783134, weightedAverage=6.0E-8]
PoloniexChartData [date=Thu Jul 07 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=7.0E-8, close=7.0E-8, volume=2.594825, quoteVolume=36409257.098445, weightedAverage=7.0E-8]
PoloniexChartData [date=Fri Jul 08 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=7.0E-8, close=7.0E-8, volume=1.86972533, quoteVolume=26996246.303953, weightedAverage=6.0E-8]
PoloniexChartData [date=Sat Jul 09 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=7.0E-8, close=7.0E-8, volume=3.39769061, quoteVolume=47785421.469368, weightedAverage=7.0E-8]
PoloniexChartData [date=Sun Jul 10 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=7.0E-8, close=8.0E-8, volume=2.74882355, quoteVolume=38185670.191142, weightedAverage=7.0E-8]
PoloniexChartData [date=Mon Jul 11 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=7.0E-8, close=7.0E-8, volume=4.58420906, quoteVolume=67447468.915585, weightedAverage=6.0E-8]
PoloniexChartData [date=Tue Jul 12 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=8.0E-8, close=7.0E-8, volume=1.29947779, quoteVolume=17965375.617326, weightedAverage=7.0E-8]
PoloniexChartData [date=Wed Jul 13 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=7.0E-8, close=7.0E-8, volume=2.32877609, quoteVolume=32959788.339486, weightedAverage=7.0E-8]
PoloniexChartData [date=Thu Jul 14 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=7.0E-8, close=8.0E-8, volume=3.94816212, quoteVolume=52309389.095524, weightedAverage=7.0E-8]
PoloniexChartData [date=Fri Jul 15 20:00:00 EDT 2016, high=8.0E-8, low=7.0E-8, open=7.0E-8, close=7.0E-8, volume=1.2327408, quoteVolume=17006509.32318, weightedAverage=7.0E-8]
PoloniexChartData [date=Sat Jul 16 20:00:00 EDT 2016, high=9.0E-8, low=7.0E-8, open=8.0E-8, close=9.0E-8, volume=10.39243263, quoteVolume=126175503.50884, weightedAverage=8.0E-8]
PoloniexChartData [date=Sun Jul 17 20:00:00 EDT 2016, high=9.0E-8, low=7.0E-8, open=8.0E-8, close=7.0E-8, volume=2.10624083, quoteVolume=27040527.010131, weightedAverage=7.0E-8]
PoloniexChartData [date=Mon Jul 18 20:00:00 EDT 2016, high=9.0E-8, low=7.0E-8, open=7.0E-8, close=8.0E-8, volume=2.48064368, quoteVolume=29364691.031785, weightedAverage=8.0E-8]
PoloniexChartData [date=Tue Jul 19 20:00:00 EDT 2016, high=9.0E-8, low=7.0E-8, open=8.0E-8, close=7.0E-8, volume=7.37867295, quoteVolume=97930389.78586, weightedAverage=7.0E-8]
PoloniexChartData [date=Wed Jul 20 20:00:00 EDT 2016, high=9.0E-8, low=7.0E-8, open=7.0E-8, close=8.0E-8, volume=3.37294427, quoteVolume=43856425.763651, weightedAverage=7.0E-8]
PoloniexChartData [date=Thu Jul 21 20:00:00 EDT 2016, high=9.0E-8, low=7.0E-8, open=8.0E-8, close=8.0E-8, volume=1.39392055, quoteVolume=17328339.468943, weightedAverage=8.0E-8]
PoloniexChartData [date=Fri Jul 22 20:00:00 EDT 2016, high=9.0E-8, low=7.0E-8, open=8.0E-8, close=8.0E-8, volume=1.43285982, quoteVolume=17738693.760395, weightedAverage=8.0E-8]
PoloniexChartData [date=Sat Jul 23 20:00:00 EDT 2016, high=9.0E-8, low=7.0E-8, open=8.0E-8, close=8.0E-8, volume=3.34442079, quoteVolume=40810243.110963, weightedAverage=8.0E-8]
PoloniexChartData [date=Sun Jul 24 20:00:00 EDT 2016, high=9.0E-8, low=7.0E-8, open=8.0E-8, close=8.0E-8, volume=1.71053738, quoteVolume=21552149.885944, weightedAverage=7.0E-8]
PoloniexChartData [date=Mon Jul 25 20:00:00 EDT 2016, high=9.0E-8, low=7.0E-8, open=8.0E-8, close=8.0E-8, volume=3.90148365, quoteVolume=47774401.124053, weightedAverage=8.0E-8]
