PoloniexChartData [date=Wed Jun 29 20:00:00 EDT 2016, high=3.9E-7, low=3.4E-7, open=3.4E-7, close=3.7E-7, volume=0.20850284, quoteVolume=560954.5029637, weightedAverage=3.7E-7]
PoloniexChartData [date=Thu Jun 30 20:00:00 EDT 2016, high=4.4E-7, low=3.5E-7, open=3.8E-7, close=3.8E-7, volume=1.42045951, quoteVolume=3523092.5055515, weightedAverage=4.0E-7]
PoloniexChartData [date=Fri Jul 01 20:00:00 EDT 2016, high=0.00000124, low=2.8E-7, open=3.9E-7, close=5.0E-7, volume=223.50710713, quoteVolume=320826630.95272, weightedAverage=6.9E-7]
PoloniexChartData [date=Sat Jul 02 20:00:00 EDT 2016, high=6.8E-7, low=3.6E-7, open=4.9E-7, close=5.0E-7, volume=35.30876364, quoteVolume=65094901.010141, weightedAverage=5.4E-7]
PoloniexChartData [date=Sun Jul 03 20:00:00 EDT 2016, high=5.8E-7, low=4.3E-7, open=5.3E-7, close=4.9E-7, volume=8.43976277, quoteVolume=17120455.355979, weightedAverage=4.9E-7]
PoloniexChartData [date=Mon Jul 04 20:00:00 EDT 2016, high=5.5E-7, low=4.5E-7, open=4.9E-7, close=4.8E-7, volume=4.3058092, quoteVolume=8711461.5893687, weightedAverage=4.9E-7]
PoloniexChartData [date=Tue Jul 05 20:00:00 EDT 2016, high=5.8E-7, low=4.5E-7, open=4.7E-7, close=4.8E-7, volume=1.76108683, quoteVolume=3539858.1435957, weightedAverage=4.9E-7]
PoloniexChartData [date=Wed Jul 06 20:00:00 EDT 2016, high=5.6E-7, low=4.5E-7, open=4.8E-7, close=5.0E-7, volume=2.60824054, quoteVolume=5191352.1167188, weightedAverage=5.0E-7]
PoloniexChartData [date=Thu Jul 07 20:00:00 EDT 2016, high=5.1E-7, low=4.0E-7, open=4.8E-7, close=4.0E-7, volume=2.31455749, quoteVolume=5167576.5447332, weightedAverage=4.4E-7]
PoloniexChartData [date=Fri Jul 08 20:00:00 EDT 2016, high=4.8E-7, low=3.9E-7, open=4.1E-7, close=4.8E-7, volume=5.20231304, quoteVolume=12182165.641757, weightedAverage=4.2E-7]
