PoloniexChartData [date=Sun May 22 20:00:00 EDT 2016, high=1.9E-7, low=1.8E-7, open=1.9E-7, close=1.9E-7, volume=0.13598601, quoteVolume=719684.925372, weightedAverage=1.8E-7]
PoloniexChartData [date=Mon May 23 20:00:00 EDT 2016, high=2.1E-7, low=1.8E-7, open=1.8E-7, close=1.8E-7, volume=0.27176287, quoteVolume=1392017.1272228, weightedAverage=1.9E-7]
PoloniexChartData [date=Tue May 24 20:00:00 EDT 2016, high=2.0E-7, low=1.6E-7, open=1.9E-7, close=1.7E-7, volume=1.35167639, quoteVolume=7619360.5947306, weightedAverage=1.7E-7]
PoloniexChartData [date=Wed May 25 20:00:00 EDT 2016, high=2.0E-7, low=1.6E-7, open=1.7E-7, close=1.7E-7, volume=1.38492868, quoteVolume=8327826.7683128, weightedAverage=1.6E-7]
PoloniexChartData [date=Thu May 26 20:00:00 EDT 2016, high=1.7E-7, low=1.5E-7, open=1.7E-7, close=1.7E-7, volume=0.5356303, quoteVolume=3396072.0361038, weightedAverage=1.5E-7]
PoloniexChartData [date=Fri May 27 20:00:00 EDT 2016, high=1.7E-7, low=1.5E-7, open=1.7E-7, close=1.5E-7, volume=0.42452824, quoteVolume=2781919.1686323, weightedAverage=1.5E-7]
PoloniexChartData [date=Sat May 28 20:00:00 EDT 2016, high=1.6E-7, low=1.5E-7, open=1.6E-7, close=1.6E-7, volume=0.51953885, quoteVolume=3380962.3906335, weightedAverage=1.5E-7]
PoloniexChartData [date=Sun May 29 20:00:00 EDT 2016, high=1.7E-7, low=1.5E-7, open=1.6E-7, close=1.7E-7, volume=0.42063425, quoteVolume=2635680.1477263, weightedAverage=1.5E-7]
PoloniexChartData [date=Mon May 30 20:00:00 EDT 2016, high=1.7E-7, low=1.6E-7, open=1.7E-7, close=1.7E-7, volume=0.12669516, quoteVolume=772839.34113635, weightedAverage=1.6E-7]
PoloniexChartData [date=Tue May 31 20:00:00 EDT 2016, high=1.7E-7, low=1.4E-7, open=1.7E-7, close=1.7E-7, volume=1.14875388, quoteVolume=7469007.5956334, weightedAverage=1.5E-7]
PoloniexChartData [date=Wed Jun 01 20:00:00 EDT 2016, high=1.7E-7, low=1.4E-7, open=1.7E-7, close=1.6E-7, volume=0.54336871, quoteVolume=3845983.6437336, weightedAverage=1.4E-7]
PoloniexChartData [date=Thu Jun 02 20:00:00 EDT 2016, high=1.6E-7, low=1.4E-7, open=1.5E-7, close=1.5E-7, volume=0.15508, quoteVolume=1051638.2642785, weightedAverage=1.4E-7]
PoloniexChartData [date=Fri Jun 03 20:00:00 EDT 2016, high=1.6E-7, low=1.5E-7, open=1.5E-7, close=1.5E-7, volume=0.2565099, quoteVolume=1664165.8967971, weightedAverage=1.5E-7]
PoloniexChartData [date=Sat Jun 04 20:00:00 EDT 2016, high=1.7E-7, low=1.5E-7, open=1.5E-7, close=1.6E-7, volume=0.43462369, quoteVolume=2776985.200214, weightedAverage=1.5E-7]
PoloniexChartData [date=Sun Jun 05 20:00:00 EDT 2016, high=1.6E-7, low=1.4E-7, open=1.5E-7, close=1.6E-7, volume=0.48157151, quoteVolume=3397488.4026911, weightedAverage=1.4E-7]
PoloniexChartData [date=Mon Jun 06 20:00:00 EDT 2016, high=1.7E-7, low=1.6E-7, open=1.6E-7, close=1.6E-7, volume=0.12493444, quoteVolume=778939.56081002, weightedAverage=1.6E-7]
PoloniexChartData [date=Tue Jun 07 20:00:00 EDT 2016, high=1.7E-7, low=1.4E-7, open=1.6E-7, close=1.4E-7, volume=0.18296264, quoteVolume=1229643.0916163, weightedAverage=1.4E-7]
PoloniexChartData [date=Wed Jun 08 20:00:00 EDT 2016, high=1.6E-7, low=1.5E-7, open=1.5E-7, close=1.5E-7, volume=0.12074579, quoteVolume=784149.29926701, weightedAverage=1.5E-7]
PoloniexChartData [date=Thu Jun 09 20:00:00 EDT 2016, high=1.7E-7, low=1.5E-7, open=1.6E-7, close=1.7E-7, volume=0.06798626, quoteVolume=409036.59466386, weightedAverage=1.6E-7]
PoloniexChartData [date=Fri Jun 10 20:00:00 EDT 2016, high=1.7E-7, low=1.7E-7, open=1.7E-7, close=1.7E-7, volume=0, quoteVolume=0, weightedAverage=1.7E-7]
PoloniexChartData [date=Sat Jun 11 20:00:00 EDT 2016, high=1.6E-7, low=1.4E-7, open=1.5E-7, close=1.4E-7, volume=0.3147178, quoteVolume=2190376.5069511, weightedAverage=1.4E-7]
PoloniexChartData [date=Sun Jun 12 20:00:00 EDT 2016, high=1.5E-7, low=1.3E-7, open=1.4E-7, close=1.5E-7, volume=0.30996191, quoteVolume=2248044.018726, weightedAverage=1.3E-7]
PoloniexChartData [date=Mon Jun 13 20:00:00 EDT 2016, high=1.8E-7, low=1.3E-7, open=1.4E-7, close=1.5E-7, volume=0.53348492, quoteVolume=3222747.9416175, weightedAverage=1.6E-7]
PoloniexChartData [date=Tue Jun 14 20:00:00 EDT 2016, high=1.8E-7, low=1.5E-7, open=1.5E-7, close=1.5E-7, volume=0.15237578, quoteVolume=884472.51858709, weightedAverage=1.7E-7]
PoloniexChartData [date=Wed Jun 15 20:00:00 EDT 2016, high=1.7E-7, low=1.4E-7, open=1.6E-7, close=1.7E-7, volume=0.1413088, quoteVolume=917205.67904701, weightedAverage=1.5E-7]
PoloniexChartData [date=Thu Jun 16 20:00:00 EDT 2016, high=1.7E-7, low=1.4E-7, open=1.6E-7, close=1.4E-7, volume=0.49427988, quoteVolume=3228640.3394491, weightedAverage=1.5E-7]
PoloniexChartData [date=Fri Jun 17 20:00:00 EDT 2016, high=1.5E-7, low=1.3E-7, open=1.4E-7, close=1.4E-7, volume=0.91310397, quoteVolume=6929659.789264, weightedAverage=1.3E-7]
PoloniexChartData [date=Sat Jun 18 20:00:00 EDT 2016, high=1.7E-7, low=1.3E-7, open=1.3E-7, close=1.5E-7, volume=0.37590351, quoteVolume=2410526.8197343, weightedAverage=1.5E-7]
PoloniexChartData [date=Sun Jun 19 20:00:00 EDT 2016, high=1.5E-7, low=1.3E-7, open=1.4E-7, close=1.4E-7, volume=0.3593993, quoteVolume=2698094.2409049, weightedAverage=1.3E-7]
PoloniexChartData [date=Mon Jun 20 20:00:00 EDT 2016, high=1.5E-7, low=1.2E-7, open=1.3E-7, close=1.4E-7, volume=0.44116813, quoteVolume=3555159.7507784, weightedAverage=1.2E-7]
PoloniexChartData [date=Tue Jun 21 20:00:00 EDT 2016, high=1.4E-7, low=1.1E-7, open=1.4E-7, close=1.2E-7, volume=1.61549802, quoteVolume=13785402.051905, weightedAverage=1.1E-7]
PoloniexChartData [date=Wed Jun 22 20:00:00 EDT 2016, high=1.2E-7, low=9.0E-8, open=1.2E-7, close=9.0E-8, volume=3.16014725, quoteVolume=29890060.920705, weightedAverage=1.0E-7]
PoloniexChartData [date=Thu Jun 23 20:00:00 EDT 2016, high=1.3E-7, low=9.0E-8, open=1.1E-7, close=1.3E-7, volume=1.17555303, quoteVolume=10909218.180516, weightedAverage=1.0E-7]
PoloniexChartData [date=Fri Jun 24 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.3E-7, close=1.3E-7, volume=0.61284647, quoteVolume=4743214.3687792, weightedAverage=1.2E-7]
PoloniexChartData [date=Sat Jun 25 20:00:00 EDT 2016, high=1.4E-7, low=1.2E-7, open=1.2E-7, close=1.4E-7, volume=0.75764593, quoteVolume=5420088.7352943, weightedAverage=1.3E-7]
PoloniexChartData [date=Sun Jun 26 20:00:00 EDT 2016, high=1.5E-7, low=1.3E-7, open=1.5E-7, close=1.3E-7, volume=0.19848516, quoteVolume=1480828.9369842, weightedAverage=1.3E-7]
PoloniexChartData [date=Mon Jun 27 20:00:00 EDT 2016, high=1.5E-7, low=1.2E-7, open=1.4E-7, close=1.4E-7, volume=0.16423369, quoteVolume=1209492.6246713, weightedAverage=1.3E-7]
PoloniexChartData [date=Tue Jun 28 20:00:00 EDT 2016, high=1.6E-7, low=1.3E-7, open=1.3E-7, close=1.4E-7, volume=1.14926274, quoteVolume=7719325.0637338, weightedAverage=1.4E-7]
PoloniexChartData [date=Wed Jun 29 20:00:00 EDT 2016, high=1.7E-7, low=1.4E-7, open=1.6E-7, close=1.6E-7, volume=1.54813829, quoteVolume=9536429.7435745, weightedAverage=1.6E-7]
PoloniexChartData [date=Thu Jun 30 20:00:00 EDT 2016, high=2.4E-7, low=1.5E-7, open=1.5E-7, close=2.2E-7, volume=6.15187906, quoteVolume=30577727.350746, weightedAverage=2.0E-7]
PoloniexChartData [date=Fri Jul 01 20:00:00 EDT 2016, high=2.7E-7, low=1.7E-7, open=2.3E-7, close=2.0E-7, volume=9.74405141, quoteVolume=44795845.189034, weightedAverage=2.1E-7]
PoloniexChartData [date=Sat Jul 02 20:00:00 EDT 2016, high=2.1E-7, low=1.5E-7, open=1.9E-7, close=1.8E-7, volume=3.17123437, quoteVolume=17380621.720253, weightedAverage=1.8E-7]
PoloniexChartData [date=Sun Jul 03 20:00:00 EDT 2016, high=2.4E-7, low=1.5E-7, open=1.7E-7, close=2.4E-7, volume=3.7498695, quoteVolume=18799907.091598, weightedAverage=1.9E-7]
