PoloniexChartData [date=2016-05-22 00:00:00 GMT, high=3.8E-7, low=3.0E-7, open=3.7E-7, close=3.5E-7, volume=0.27441056, quoteVolume=822459.57960865, weightedAverage=3.3E-7]
PoloniexChartData [date=2016-05-23 00:00:00 GMT, high=3.5E-7, low=3.5E-7, open=3.5E-7, close=3.5E-7, volume=0, quoteVolume=0, weightedAverage=3.5E-7]
PoloniexChartData [date=2016-05-24 00:00:00 GMT, high=3.5E-7, low=3.2E-7, open=3.4E-7, close=3.2E-7, volume=0.11203682, quoteVolume=331134.59697482, weightedAverage=3.3E-7]
PoloniexChartData [date=2016-05-25 00:00:00 GMT, high=3.6E-7, low=2.4E-7, open=3.5E-7, close=2.7E-7, volume=0.52154205, quoteVolume=1893294.146014, weightedAverage=2.7E-7]
PoloniexChartData [date=2016-05-26 00:00:00 GMT, high=3.0E-7, low=2.5E-7, open=3.0E-7, close=2.7E-7, volume=0.11508477, quoteVolume=436648.82762329, weightedAverage=2.6E-7]
PoloniexChartData [date=2016-05-27 00:00:00 GMT, high=3.0E-7, low=2.4E-7, open=2.8E-7, close=2.9E-7, volume=0.05977371, quoteVolume=236824.68526235, weightedAverage=2.5E-7]
PoloniexChartData [date=2016-05-28 00:00:00 GMT, high=2.9E-7, low=2.2E-7, open=2.8E-7, close=2.4E-7, volume=0.61222407, quoteVolume=2543878.1179999, weightedAverage=2.4E-7]
PoloniexChartData [date=2016-05-29 00:00:00 GMT, high=2.4E-7, low=2.3E-7, open=2.4E-7, close=2.3E-7, volume=0.11584699, quoteVolume=500000, weightedAverage=2.3E-7]
PoloniexChartData [date=2016-05-30 00:00:00 GMT, high=2.6E-7, low=2.2E-7, open=2.5E-7, close=2.6E-7, volume=0.26574235, quoteVolume=1176070.6497751, weightedAverage=2.2E-7]
PoloniexChartData [date=2016-05-31 00:00:00 GMT, high=2.8E-7, low=2.6E-7, open=2.8E-7, close=2.8E-7, volume=0.17134433, quoteVolume=626117.01530303, weightedAverage=2.7E-7]
PoloniexChartData [date=2016-06-01 00:00:00 GMT, high=5.4E-7, low=2.8E-7, open=2.8E-7, close=3.6E-7, volume=1.89869098, quoteVolume=5089428.9805077, weightedAverage=3.7E-7]
PoloniexChartData [date=2016-06-02 00:00:00 GMT, high=3.8E-7, low=3.6E-7, open=3.6E-7, close=3.8E-7, volume=0.05696629, quoteVolume=151494.56747641, weightedAverage=3.7E-7]
PoloniexChartData [date=2016-06-03 00:00:00 GMT, high=4.3E-7, low=2.1E-7, open=3.7E-7, close=3.4E-7, volume=0.54985727, quoteVolume=1815837.4322179, weightedAverage=3.0E-7]
PoloniexChartData [date=2016-06-04 00:00:00 GMT, high=4.3E-7, low=3.0E-7, open=3.6E-7, close=3.8E-7, volume=0.17001163, quoteVolume=437126.12516681, weightedAverage=3.8E-7]
PoloniexChartData [date=2016-06-05 00:00:00 GMT, high=4.2E-7, low=3.6E-7, open=4.0E-7, close=3.8E-7, volume=0.05634925, quoteVolume=144583.72317389, weightedAverage=3.8E-7]
PoloniexChartData [date=2016-06-06 00:00:00 GMT, high=3.8E-7, low=2.6E-7, open=3.6E-7, close=3.7E-7, volume=0.43994489, quoteVolume=1164823.1095705, weightedAverage=3.7E-7]
PoloniexChartData [date=2016-06-07 00:00:00 GMT, high=3.7E-7, low=3.0E-7, open=3.7E-7, close=3.0E-7, volume=0.04995118, quoteVolume=154584.74544544, weightedAverage=3.2E-7]
PoloniexChartData [date=2016-06-08 00:00:00 GMT, high=3.1E-7, low=2.3E-7, open=3.0E-7, close=2.6E-7, volume=0.30826925, quoteVolume=1232304.5126575, weightedAverage=2.5E-7]
PoloniexChartData [date=2016-06-09 00:00:00 GMT, high=2.9E-7, low=2.6E-7, open=2.6E-7, close=2.8E-7, volume=0.11820193, quoteVolume=425163.72843182, weightedAverage=2.7E-7]
PoloniexChartData [date=2016-06-10 00:00:00 GMT, high=3.9E-7, low=2.9E-7, open=2.9E-7, close=3.6E-7, volume=0.75686918, quoteVolume=2117998.087774, weightedAverage=3.5E-7]
PoloniexChartData [date=2016-06-11 00:00:00 GMT, high=3.8E-7, low=3.2E-7, open=3.8E-7, close=3.6E-7, volume=0.09621504, quoteVolume=264624.87560413, weightedAverage=3.6E-7]
PoloniexChartData [date=2016-06-12 00:00:00 GMT, high=3.9E-7, low=3.0E-7, open=3.5E-7, close=3.3E-7, volume=0.25584626, quoteVolume=792792.76051341, weightedAverage=3.2E-7]
PoloniexChartData [date=2016-06-13 00:00:00 GMT, high=4.0E-7, low=2.4E-7, open=3.5E-7, close=2.6E-7, volume=2.09717236, quoteVolume=7082392.6164155, weightedAverage=2.9E-7]
PoloniexChartData [date=2016-06-14 00:00:00 GMT, high=3.1E-7, low=2.6E-7, open=2.9E-7, close=2.9E-7, volume=0.31498841, quoteVolume=1106048.6133443, weightedAverage=2.8E-7]
PoloniexChartData [date=2016-06-15 00:00:00 GMT, high=3.5E-7, low=2.4E-7, open=3.0E-7, close=3.1E-7, volume=0.27974681, quoteVolume=967665.58796264, weightedAverage=2.8E-7]
PoloniexChartData [date=2016-06-16 00:00:00 GMT, high=3.1E-7, low=2.5E-7, open=3.1E-7, close=2.6E-7, volume=0.10820748, quoteVolume=401287.13926437, weightedAverage=2.6E-7]
PoloniexChartData [date=2016-06-17 00:00:00 GMT, high=2.8E-7, low=2.3E-7, open=2.8E-7, close=2.3E-7, volume=0.1407192, quoteVolume=571267.05096555, weightedAverage=2.4E-7]
PoloniexChartData [date=2016-06-18 00:00:00 GMT, high=3.2E-7, low=2.0E-7, open=2.5E-7, close=2.9E-7, volume=0.70981615, quoteVolume=2874759.5111284, weightedAverage=2.4E-7]
PoloniexChartData [date=2016-06-19 00:00:00 GMT, high=3.6E-7, low=2.7E-7, open=3.1E-7, close=3.6E-7, volume=0.28750273, quoteVolume=863680.46955859, weightedAverage=3.3E-7]
PoloniexChartData [date=2016-06-20 00:00:00 GMT, high=3.5E-7, low=2.6E-7, open=3.3E-7, close=3.1E-7, volume=0.18679201, quoteVolume=627413.10622391, weightedAverage=2.9E-7]
PoloniexChartData [date=2016-06-21 00:00:00 GMT, high=3.5E-7, low=2.6E-7, open=2.9E-7, close=3.4E-7, volume=0.79743458, quoteVolume=2707057.7743178, weightedAverage=2.9E-7]
PoloniexChartData [date=2016-06-22 00:00:00 GMT, high=3.3E-7, low=2.6E-7, open=3.3E-7, close=2.9E-7, volume=0.20384632, quoteVolume=737035.41534249, weightedAverage=2.7E-7]
PoloniexChartData [date=2016-06-23 00:00:00 GMT, high=3.6E-7, low=2.4E-7, open=2.7E-7, close=3.2E-7, volume=0.42503245, quoteVolume=1487505.4090119, weightedAverage=2.8E-7]
PoloniexChartData [date=2016-06-24 00:00:00 GMT, high=3.3E-7, low=2.7E-7, open=3.2E-7, close=3.3E-7, volume=0.22920263, quoteVolume=756443.24163471, weightedAverage=3.0E-7]
PoloniexChartData [date=2016-06-25 00:00:00 GMT, high=3.7E-7, low=3.0E-7, open=3.3E-7, close=3.7E-7, volume=0.44100717, quoteVolume=1266837.0027784, weightedAverage=3.4E-7]
PoloniexChartData [date=2016-06-26 00:00:00 GMT, high=3.8E-7, low=3.2E-7, open=3.6E-7, close=3.6E-7, volume=0.08279518, quoteVolume=238109.67364455, weightedAverage=3.4E-7]
PoloniexChartData [date=2016-06-27 00:00:00 GMT, high=3.8E-7, low=3.0E-7, open=3.3E-7, close=3.4E-7, volume=0.16066701, quoteVolume=493835.55807279, weightedAverage=3.2E-7]
PoloniexChartData [date=2016-06-28 00:00:00 GMT, high=3.5E-7, low=3.1E-7, open=3.3E-7, close=3.1E-7, volume=0.02393827, quoteVolume=74154.63953772, weightedAverage=3.2E-7]
PoloniexChartData [date=2016-06-29 00:00:00 GMT, high=4.0E-7, low=3.1E-7, open=3.3E-7, close=3.2E-7, volume=1.34905345, quoteVolume=3791825.8893174, weightedAverage=3.5E-7]
PoloniexChartData [date=2016-06-30 00:00:00 GMT, high=3.9E-7, low=3.4E-7, open=3.4E-7, close=3.7E-7, volume=0.20850284, quoteVolume=560954.5029637, weightedAverage=3.7E-7]
PoloniexChartData [date=2016-07-01 00:00:00 GMT, high=4.4E-7, low=3.5E-7, open=3.8E-7, close=3.8E-7, volume=1.42045951, quoteVolume=3523092.5055515, weightedAverage=4.0E-7]
PoloniexChartData [date=2016-07-02 00:00:00 GMT, high=0.00000124, low=2.8E-7, open=3.9E-7, close=5.0E-7, volume=223.50710713, quoteVolume=320826630.95272, weightedAverage=6.9E-7]
PoloniexChartData [date=2016-07-03 00:00:00 GMT, high=6.8E-7, low=3.6E-7, open=4.9E-7, close=5.0E-7, volume=35.30876364, quoteVolume=65094901.010141, weightedAverage=5.4E-7]
PoloniexChartData [date=2016-07-04 00:00:00 GMT, high=5.8E-7, low=4.3E-7, open=5.3E-7, close=4.9E-7, volume=8.43976277, quoteVolume=17120455.355979, weightedAverage=4.9E-7]
PoloniexChartData [date=2016-07-05 00:00:00 GMT, high=5.5E-7, low=4.5E-7, open=4.9E-7, close=4.8E-7, volume=4.3058092, quoteVolume=8711461.5893687, weightedAverage=4.9E-7]
PoloniexChartData [date=2016-07-06 00:00:00 GMT, high=5.8E-7, low=4.5E-7, open=4.7E-7, close=4.8E-7, volume=1.76108683, quoteVolume=3539858.1435957, weightedAverage=4.9E-7]
PoloniexChartData [date=2016-07-07 00:00:00 GMT, high=5.6E-7, low=4.5E-7, open=4.8E-7, close=5.0E-7, volume=2.60824054, quoteVolume=5191352.1167188, weightedAverage=5.0E-7]
PoloniexChartData [date=2016-07-08 00:00:00 GMT, high=5.1E-7, low=4.0E-7, open=4.8E-7, close=4.0E-7, volume=2.31455749, quoteVolume=5167576.5447332, weightedAverage=4.4E-7]
PoloniexChartData [date=2016-07-09 00:00:00 GMT, high=4.8E-7, low=3.9E-7, open=4.1E-7, close=4.8E-7, volume=5.20231304, quoteVolume=12182165.641757, weightedAverage=4.2E-7]
PoloniexChartData [date=2016-07-10 00:00:00 GMT, high=5.7E-7, low=4.5E-7, open=4.7E-7, close=5.2E-7, volume=3.01719927, quoteVolume=5882451.1921235, weightedAverage=5.1E-7]
PoloniexChartData [date=2016-07-11 00:00:00 GMT, high=5.3E-7, low=4.2E-7, open=5.2E-7, close=4.7E-7, volume=1.76939174, quoteVolume=3700463.4964977, weightedAverage=4.7E-7]
PoloniexChartData [date=2016-07-12 00:00:00 GMT, high=5.5E-7, low=4.6E-7, open=4.9E-7, close=5.0E-7, volume=13.09617406, quoteVolume=25504222.211015, weightedAverage=5.1E-7]
PoloniexChartData [date=2016-07-13 00:00:00 GMT, high=5.1E-7, low=3.7E-7, open=5.0E-7, close=4.3E-7, volume=4.40402051, quoteVolume=10259494.433529, weightedAverage=4.2E-7]
PoloniexChartData [date=2016-07-14 00:00:00 GMT, high=4.8E-7, low=3.9E-7, open=4.2E-7, close=4.2E-7, volume=1.41398059, quoteVolume=3327967.2843471, weightedAverage=4.2E-7]
PoloniexChartData [date=2016-07-15 00:00:00 GMT, high=4.7E-7, low=4.2E-7, open=4.4E-7, close=4.6E-7, volume=0.35351176, quoteVolume=788105.59161096, weightedAverage=4.4E-7]
PoloniexChartData [date=2016-07-16 00:00:00 GMT, high=4.8E-7, low=4.4E-7, open=4.6E-7, close=4.5E-7, volume=1.10200964, quoteVolume=2402152.8631532, weightedAverage=4.5E-7]
PoloniexChartData [date=2016-07-17 00:00:00 GMT, high=5.1E-7, low=4.5E-7, open=4.8E-7, close=4.9E-7, volume=2.03717942, quoteVolume=4234404.0540638, weightedAverage=4.8E-7]
PoloniexChartData [date=2016-07-18 00:00:00 GMT, high=5.0E-7, low=4.5E-7, open=4.9E-7, close=5.0E-7, volume=1.85207327, quoteVolume=3860493.484103, weightedAverage=4.7E-7]
PoloniexChartData [date=2016-07-19 00:00:00 GMT, high=5.2E-7, low=4.2E-7, open=5.0E-7, close=4.7E-7, volume=5.46744714, quoteVolume=11253709.876781, weightedAverage=4.8E-7]
PoloniexChartData [date=2016-07-20 00:00:00 GMT, high=4.7E-7, low=4.3E-7, open=4.6E-7, close=4.4E-7, volume=1.51947583, quoteVolume=3374743.0422992, weightedAverage=4.5E-7]
PoloniexChartData [date=2016-07-21 00:00:00 GMT, high=4.7E-7, low=4.3E-7, open=4.4E-7, close=4.5E-7, volume=3.01252762, quoteVolume=6786120.9387637, weightedAverage=4.4E-7]
PoloniexChartData [date=2016-07-22 00:00:00 GMT, high=4.7E-7, low=4.2E-7, open=4.6E-7, close=4.6E-7, volume=3.56343331, quoteVolume=8237135.749192, weightedAverage=4.3E-7]
PoloniexChartData [date=2016-07-23 00:00:00 GMT, high=4.7E-7, low=4.1E-7, open=4.4E-7, close=4.4E-7, volume=1.37822678, quoteVolume=3243905.455156, weightedAverage=4.2E-7]
PoloniexChartData [date=2016-07-24 00:00:00 GMT, high=4.4E-7, low=2.8E-7, open=4.4E-7, close=4.0E-7, volume=3.9244387, quoteVolume=11399504.395285, weightedAverage=3.4E-7]
PoloniexChartData [date=2016-07-25 00:00:00 GMT, high=4.3E-7, low=3.4E-7, open=4.0E-7, close=4.1E-7, volume=0.30660302, quoteVolume=767906.88837749, weightedAverage=3.9E-7]
PoloniexChartData [date=2016-07-26 00:00:00 GMT, high=4.3E-7, low=3.3E-7, open=4.0E-7, close=4.1E-7, volume=0.5113226, quoteVolume=1323218.4896105, weightedAverage=3.8E-7]
