PoloniexChartData [date=Wed May 25 20:00:00 EDT 2016, high=5.0E-7, low=4.9E-7, open=5.0E-7, close=5.0E-7, volume=27.01749011, quoteVolume=54747052.475218, weightedAverage=4.9E-7]
PoloniexChartData [date=Thu May 26 20:00:00 EDT 2016, high=5.0E-7, low=4.5E-7, open=4.9E-7, close=4.8E-7, volume=177.79749922, quoteVolume=378057176.93061, weightedAverage=4.7E-7]
PoloniexChartData [date=Fri May 27 20:00:00 EDT 2016, high=4.8E-7, low=4.0E-7, open=4.8E-7, close=4.2E-7, volume=124.56727625, quoteVolume=286628585.40468, weightedAverage=4.3E-7]
PoloniexChartData [date=Sat May 28 20:00:00 EDT 2016, high=4.4E-7, low=4.1E-7, open=4.2E-7, close=4.3E-7, volume=49.16871347, quoteVolume=116238038.93101, weightedAverage=4.2E-7]
PoloniexChartData [date=Sun May 29 20:00:00 EDT 2016, high=4.5E-7, low=4.2E-7, open=4.3E-7, close=4.4E-7, volume=17.93410066, quoteVolume=41743908.73629, weightedAverage=4.2E-7]
PoloniexChartData [date=Mon May 30 20:00:00 EDT 2016, high=4.4E-7, low=4.1E-7, open=4.4E-7, close=4.3E-7, volume=60.109655, quoteVolume=142665334.29832, weightedAverage=4.2E-7]
PoloniexChartData [date=Tue May 31 20:00:00 EDT 2016, high=4.4E-7, low=4.2E-7, open=4.3E-7, close=4.3E-7, volume=33.58820592, quoteVolume=78526015.278205, weightedAverage=4.2E-7]
PoloniexChartData [date=Wed Jun 01 20:00:00 EDT 2016, high=4.4E-7, low=4.2E-7, open=4.4E-7, close=4.3E-7, volume=41.55717973, quoteVolume=97296655.546985, weightedAverage=4.2E-7]
PoloniexChartData [date=Thu Jun 02 20:00:00 EDT 2016, high=4.4E-7, low=4.1E-7, open=4.3E-7, close=4.2E-7, volume=59.86352606, quoteVolume=142006283.88484, weightedAverage=4.2E-7]
PoloniexChartData [date=Fri Jun 03 20:00:00 EDT 2016, high=4.2E-7, low=4.1E-7, open=4.2E-7, close=4.2E-7, volume=21.68815728, quoteVolume=52452893.05453, weightedAverage=4.1E-7]
PoloniexChartData [date=Sat Jun 04 20:00:00 EDT 2016, high=4.2E-7, low=4.0E-7, open=4.2E-7, close=4.1E-7, volume=14.1955176, quoteVolume=34847038.331495, weightedAverage=4.0E-7]
PoloniexChartData [date=Sun Jun 05 20:00:00 EDT 2016, high=4.2E-7, low=4.0E-7, open=4.1E-7, close=4.1E-7, volume=18.99722032, quoteVolume=47054519.646231, weightedAverage=4.0E-7]
PoloniexChartData [date=Mon Jun 06 20:00:00 EDT 2016, high=4.3E-7, low=3.9E-7, open=4.0E-7, close=4.1E-7, volume=44.43196348, quoteVolume=109381118.63432, weightedAverage=4.0E-7]
PoloniexChartData [date=Tue Jun 07 20:00:00 EDT 2016, high=4.3E-7, low=4.0E-7, open=4.2E-7, close=4.2E-7, volume=32.57029454, quoteVolume=77912530.005587, weightedAverage=4.1E-7]
PoloniexChartData [date=Wed Jun 08 20:00:00 EDT 2016, high=4.7E-7, low=4.1E-7, open=4.2E-7, close=4.5E-7, volume=122.7379547, quoteVolume=274629064.00588, weightedAverage=4.4E-7]
PoloniexChartData [date=Thu Jun 09 20:00:00 EDT 2016, high=4.8E-7, low=4.4E-7, open=4.6E-7, close=4.5E-7, volume=88.80383567, quoteVolume=193025938.00277, weightedAverage=4.6E-7]
PoloniexChartData [date=Fri Jun 10 20:00:00 EDT 2016, high=4.5E-7, low=4.2E-7, open=4.5E-7, close=4.2E-7, volume=34.06952177, quoteVolume=78421723.761665, weightedAverage=4.3E-7]
PoloniexChartData [date=Sat Jun 11 20:00:00 EDT 2016, high=4.3E-7, low=3.8E-7, open=4.2E-7, close=3.9E-7, volume=96.76788838, quoteVolume=239814170.83686, weightedAverage=4.0E-7]
PoloniexChartData [date=Sun Jun 12 20:00:00 EDT 2016, high=4.3E-7, low=3.8E-7, open=3.9E-7, close=4.2E-7, volume=115.08335329, quoteVolume=287418165.00852, weightedAverage=4.0E-7]
PoloniexChartData [date=Mon Jun 13 20:00:00 EDT 2016, high=4.9E-7, low=4.1E-7, open=4.1E-7, close=4.6E-7, volume=278.63708008, quoteVolume=606350245.50418, weightedAverage=4.5E-7]
PoloniexChartData [date=Tue Jun 14 20:00:00 EDT 2016, high=4.8E-7, low=4.4E-7, open=4.6E-7, close=4.5E-7, volume=82.63359392, quoteVolume=179580820.75809, weightedAverage=4.6E-7]
PoloniexChartData [date=Wed Jun 15 20:00:00 EDT 2016, high=4.5E-7, low=4.1E-7, open=4.5E-7, close=4.3E-7, volume=120.82062796, quoteVolume=280233953.44142, weightedAverage=4.3E-7]
PoloniexChartData [date=Thu Jun 16 20:00:00 EDT 2016, high=4.5E-7, low=4.1E-7, open=4.4E-7, close=4.3E-7, volume=164.65956447, quoteVolume=386605251.29804, weightedAverage=4.2E-7]
PoloniexChartData [date=Fri Jun 17 20:00:00 EDT 2016, high=4.4E-7, low=4.1E-7, open=4.3E-7, close=4.3E-7, volume=102.00421441, quoteVolume=241361826.10958, weightedAverage=4.2E-7]
PoloniexChartData [date=Sat Jun 18 20:00:00 EDT 2016, high=4.5E-7, low=4.2E-7, open=4.3E-7, close=4.3E-7, volume=64.38237083, quoteVolume=147144195.87382, weightedAverage=4.3E-7]
PoloniexChartData [date=Sun Jun 19 20:00:00 EDT 2016, high=4.6E-7, low=4.3E-7, open=4.3E-7, close=4.4E-7, volume=65.87503508, quoteVolume=149463613.69615, weightedAverage=4.4E-7]
PoloniexChartData [date=Mon Jun 20 20:00:00 EDT 2016, high=4.6E-7, low=4.3E-7, open=4.4E-7, close=4.6E-7, volume=112.5113124, quoteVolume=250137545.42016, weightedAverage=4.4E-7]
