PoloniexChartData [date=Thu May 26 20:00:00 EDT 2016, high=0.00000538, low=0.0000042, open=0.00000538, close=0.00000434, volume=6.86746999, quoteVolume=1474616.5711048, weightedAverage=0.00000465]
PoloniexChartData [date=Fri May 27 20:00:00 EDT 2016, high=0.00000528, low=0.0000035, open=0.00000433, close=0.00000352, volume=3.8905886, quoteVolume=936544.72701175, weightedAverage=0.00000415]
PoloniexChartData [date=Sat May 28 20:00:00 EDT 2016, high=0.00000411, low=0.00000201, open=0.00000352, close=0.0000032, volume=9.47490061, quoteVolume=3362070.3097565, weightedAverage=0.00000281]
PoloniexChartData [date=Sun May 29 20:00:00 EDT 2016, high=0.00000355, low=0.0000030, open=0.00000312, close=0.00000348, volume=0.06035276, quoteVolume=19006.91533535, weightedAverage=0.00000317]
PoloniexChartData [date=Mon May 30 20:00:00 EDT 2016, high=0.00000346, low=0.0000022, open=0.00000338, close=0.00000281, volume=5.57593444, quoteVolume=2360284.6021199, weightedAverage=0.00000236]
PoloniexChartData [date=Tue May 31 20:00:00 EDT 2016, high=0.0000030, low=0.00000281, open=0.00000282, close=0.00000291, volume=3.42733273, quoteVolume=1180338.0475776, weightedAverage=0.0000029]
PoloniexChartData [date=Wed Jun 01 20:00:00 EDT 2016, high=0.0000035, low=0.00000269, open=0.00000288, close=0.00000285, volume=6.50008768, quoteVolume=2202621.3197036, weightedAverage=0.00000295]
PoloniexChartData [date=Thu Jun 02 20:00:00 EDT 2016, high=0.00000309, low=0.00000285, open=0.00000285, close=0.00000309, volume=1.07592215, quoteVolume=364564.40123014, weightedAverage=0.00000295]
PoloniexChartData [date=Fri Jun 03 20:00:00 EDT 2016, high=0.0000030, low=0.0000024, open=0.0000030, close=0.00000264, volume=7.2988819, quoteVolume=2868851.5785332, weightedAverage=0.00000254]
PoloniexChartData [date=Sat Jun 04 20:00:00 EDT 2016, high=0.00000267, low=0.00000253, open=0.0000026, close=0.00000267, volume=0.38400995, quoteVolume=150171.09140489, weightedAverage=0.00000255]
PoloniexChartData [date=Sun Jun 05 20:00:00 EDT 2016, high=0.00000269, low=0.0000022, open=0.00000269, close=0.00000234, volume=5.99692011, quoteVolume=2641564.1113879, weightedAverage=0.00000227]
PoloniexChartData [date=Mon Jun 06 20:00:00 EDT 2016, high=0.00000258, low=0.00000102, open=0.00000231, close=0.00000189, volume=8.19011376, quoteVolume=4458990.8257832, weightedAverage=0.00000183]
PoloniexChartData [date=Tue Jun 07 20:00:00 EDT 2016, high=0.00000214, low=0.00000172, open=0.00000186, close=0.00000214, volume=3.11713026, quoteVolume=1601771.3892163, weightedAverage=0.00000194]
PoloniexChartData [date=Wed Jun 08 20:00:00 EDT 2016, high=0.00000239, low=0.0000018, open=0.0000020, close=0.00000197, volume=0.78049985, quoteVolume=381037.19271714, weightedAverage=0.00000204]
PoloniexChartData [date=Thu Jun 09 20:00:00 EDT 2016, high=0.00000197, low=0.00000111, open=0.00000192, close=0.00000134, volume=2.76094148, quoteVolume=1975491.4367674, weightedAverage=0.00000139]
PoloniexChartData [date=Fri Jun 10 20:00:00 EDT 2016, high=0.00000151, low=0.0000011, open=0.00000139, close=0.00000133, volume=2.79579564, quoteVolume=2146860.4383559, weightedAverage=0.0000013]
PoloniexChartData [date=Sat Jun 11 20:00:00 EDT 2016, high=0.00000131, low=0.0000011, open=0.00000131, close=0.00000124, volume=5.04201147, quoteVolume=4293704.1456737, weightedAverage=0.00000117]
PoloniexChartData [date=Sun Jun 12 20:00:00 EDT 2016, high=0.00000127, low=0.00000103, open=0.00000127, close=0.00000103, volume=3.22483756, quoteVolume=2828567.3590401, weightedAverage=0.00000114]
PoloniexChartData [date=Mon Jun 13 20:00:00 EDT 2016, high=0.0000013, low=0.00000102, open=0.00000102, close=0.00000113, volume=3.50654547, quoteVolume=3098082.2637748, weightedAverage=0.00000113]
PoloniexChartData [date=Tue Jun 14 20:00:00 EDT 2016, high=0.0000015, low=0.00000112, open=0.00000113, close=0.0000012, volume=6.09858438, quoteVolume=4570591.6207842, weightedAverage=0.00000133]
PoloniexChartData [date=Wed Jun 15 20:00:00 EDT 2016, high=0.00000124, low=0.0000011, open=0.00000121, close=0.0000011, volume=2.59722234, quoteVolume=2255414.6061765, weightedAverage=0.00000115]
PoloniexChartData [date=Thu Jun 16 20:00:00 EDT 2016, high=0.0000012, low=9.0E-7, open=0.0000011, close=9.1E-7, volume=4.75011614, quoteVolume=4780139.5580717, weightedAverage=9.9E-7]
PoloniexChartData [date=Fri Jun 17 20:00:00 EDT 2016, high=0.00000107, low=8.0E-7, open=9.0E-7, close=9.3E-7, volume=3.00322742, quoteVolume=3260456.3642527, weightedAverage=9.2E-7]
PoloniexChartData [date=Sat Jun 18 20:00:00 EDT 2016, high=9.9E-7, low=8.0E-7, open=9.3E-7, close=8.2E-7, volume=0.3223855, quoteVolume=371327.2186641, weightedAverage=8.6E-7]
PoloniexChartData [date=Sun Jun 19 20:00:00 EDT 2016, high=0.0000011, low=8.0E-7, open=8.1E-7, close=8.1E-7, volume=1.18748592, quoteVolume=1312209.8547042, weightedAverage=9.0E-7]
PoloniexChartData [date=Mon Jun 20 20:00:00 EDT 2016, high=0.00000106, low=7.0E-7, open=8.1E-7, close=8.7E-7, volume=3.62451001, quoteVolume=4236551.068033, weightedAverage=8.5E-7]
PoloniexChartData [date=Tue Jun 21 20:00:00 EDT 2016, high=0.00000105, low=8.2E-7, open=8.5E-7, close=0.00000103, volume=1.33464666, quoteVolume=1331925.1334787, weightedAverage=0.0000010]
PoloniexChartData [date=Wed Jun 22 20:00:00 EDT 2016, high=0.00000102, low=8.2E-7, open=0.00000102, close=8.5E-7, volume=0.90317323, quoteVolume=1043827.4157443, weightedAverage=8.6E-7]
PoloniexChartData [date=Thu Jun 23 20:00:00 EDT 2016, high=9.9E-7, low=7.4E-7, open=8.4E-7, close=7.7E-7, volume=2.61097428, quoteVolume=3024707.7837734, weightedAverage=8.6E-7]
PoloniexChartData [date=Fri Jun 24 20:00:00 EDT 2016, high=9.0E-7, low=7.0E-7, open=7.5E-7, close=7.7E-7, volume=2.47227371, quoteVolume=3328528.9075046, weightedAverage=7.4E-7]
PoloniexChartData [date=Sat Jun 25 20:00:00 EDT 2016, high=8.2E-7, low=7.2E-7, open=7.7E-7, close=7.9E-7, volume=1.29438657, quoteVolume=1684279.0087804, weightedAverage=7.6E-7]
PoloniexChartData [date=Sun Jun 26 20:00:00 EDT 2016, high=8.0E-7, low=7.4E-7, open=7.6E-7, close=7.6E-7, volume=0.84857144, quoteVolume=1064320.2032466, weightedAverage=7.9E-7]
PoloniexChartData [date=Mon Jun 27 20:00:00 EDT 2016, high=9.0E-7, low=7.5E-7, open=7.6E-7, close=7.8E-7, volume=7.11821927, quoteVolume=8634513.2590508, weightedAverage=8.2E-7]
PoloniexChartData [date=Tue Jun 28 20:00:00 EDT 2016, high=0.00000574, low=8.1E-7, open=8.3E-7, close=0.00000139, volume=91.34246576, quoteVolume=38551593.26895, weightedAverage=0.00000236]
PoloniexChartData [date=Wed Jun 29 20:00:00 EDT 2016, high=0.0000018, low=0.00000122, open=0.00000138, close=0.00000149, volume=26.94606443, quoteVolume=17590500.54983, weightedAverage=0.00000153]
PoloniexChartData [date=Thu Jun 30 20:00:00 EDT 2016, high=0.00000146, low=8.1E-7, open=0.00000134, close=0.00000122, volume=28.02589069, quoteVolume=26654326.949085, weightedAverage=0.00000105]
PoloniexChartData [date=Fri Jul 01 20:00:00 EDT 2016, high=0.00000123, low=0.0000010, open=0.00000123, close=0.00000109, volume=3.51572432, quoteVolume=3110176.0196364, weightedAverage=0.00000113]
PoloniexChartData [date=Sat Jul 02 20:00:00 EDT 2016, high=0.00000109, low=7.8E-7, open=0.00000108, close=9.4E-7, volume=12.08531949, quoteVolume=13912530.083262, weightedAverage=8.6E-7]
PoloniexChartData [date=Sun Jul 03 20:00:00 EDT 2016, high=0.00000149, low=8.5E-7, open=9.1E-7, close=0.00000128, volume=47.16548824, quoteVolume=39454527.430388, weightedAverage=0.00000119]
PoloniexChartData [date=Mon Jul 04 20:00:00 EDT 2016, high=0.0000020, low=9.8E-7, open=0.00000127, close=0.00000115, volume=151.43315891, quoteVolume=98915224.948018, weightedAverage=0.00000153]
PoloniexChartData [date=Tue Jul 05 20:00:00 EDT 2016, high=0.00000153, low=9.8E-7, open=0.00000115, close=0.0000011, volume=33.20706859, quoteVolume=27770778.443653, weightedAverage=0.00000119]
