PoloniexChartData [date=2015-05-21 00:00:00 GMT, high=4.0E-7, low=3.2E-7, open=3.9E-7, close=4.0E-7, volume=0.22027943, quoteVolume=660614.90864063, weightedAverage=3.3E-7]
PoloniexChartData [date=2015-05-22 00:00:00 GMT, high=3.9E-7, low=3.8E-7, open=3.9E-7, close=3.9E-7, volume=0.01258375, quoteVolume=32342.83747261, weightedAverage=3.8E-7]
PoloniexChartData [date=2015-05-23 00:00:00 GMT, high=4.5E-7, low=3.7E-7, open=4.0E-7, close=3.8E-7, volume=0.19319311, quoteVolume=462487.1647501, weightedAverage=4.1E-7]
PoloniexChartData [date=2015-05-24 00:00:00 GMT, high=4.6E-7, low=3.9E-7, open=3.9E-7, close=4.3E-7, volume=0.11765444, quoteVolume=260258.95314, weightedAverage=4.5E-7]
PoloniexChartData [date=2015-05-25 00:00:00 GMT, high=4.6E-7, low=1.9E-7, open=4.3E-7, close=3.4E-7, volume=0.59013866, quoteVolume=1848901.3770619, weightedAverage=3.1E-7]
PoloniexChartData [date=2015-05-26 00:00:00 GMT, high=3.6E-7, low=3.4E-7, open=3.6E-7, close=3.4E-7, volume=0.02841385, quoteVolume=79733.88516623, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-05-27 00:00:00 GMT, high=3.5E-7, low=3.4E-7, open=3.5E-7, close=3.4E-7, volume=0.00932081, quoteVolume=26972.97297297, weightedAverage=3.4E-7]
PoloniexChartData [date=2015-05-28 00:00:00 GMT, high=3.6E-7, low=3.5E-7, open=3.6E-7, close=3.5E-7, volume=0.06809375, quoteVolume=190520.58389055, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-05-29 00:00:00 GMT, high=3.9E-7, low=3.5E-7, open=3.5E-7, close=3.9E-7, volume=0.00217239, quoteVolume=6172.3049013, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-05-30 00:00:00 GMT, high=3.6E-7, low=2.1E-7, open=3.6E-7, close=3.1E-7, volume=0.62178787, quoteVolume=2502053.4438224, weightedAverage=2.4E-7]
PoloniexChartData [date=2015-05-31 00:00:00 GMT, high=4.0E-7, low=2.3E-7, open=3.4E-7, close=3.1E-7, volume=0.15357341, quoteVolume=477802.61716647, weightedAverage=3.2E-7]
