PoloniexChartData [date=2016-05-23 00:00:00 GMT, high=0.00000229, low=0.00000175, open=0.00000191, close=0.0000018, volume=9.76429648, quoteVolume=4902106.2555319, weightedAverage=0.00000199]
PoloniexChartData [date=2016-05-24 00:00:00 GMT, high=0.0000019, low=0.00000155, open=0.00000181, close=0.00000158, volume=1.73306632, quoteVolume=1003906.9743932, weightedAverage=0.00000172]
PoloniexChartData [date=2016-05-25 00:00:00 GMT, high=0.00000175, low=0.00000135, open=0.00000158, close=0.00000144, volume=2.36722224, quoteVolume=1629848.9156807, weightedAverage=0.00000145]
PoloniexChartData [date=2016-05-26 00:00:00 GMT, high=0.00000149, low=0.00000131, open=0.00000141, close=0.00000144, volume=1.18011083, quoteVolume=854195.58914412, weightedAverage=0.00000138]
PoloniexChartData [date=2016-05-27 00:00:00 GMT, high=0.0000024, low=0.00000134, open=0.00000137, close=0.00000199, volume=41.44747753, quoteVolume=20971616.554605, weightedAverage=0.00000197]
PoloniexChartData [date=2016-05-28 00:00:00 GMT, high=0.0000022, low=0.00000144, open=0.00000199, close=0.00000179, volume=3.85420382, quoteVolume=2252184.4661663, weightedAverage=0.00000171]
PoloniexChartData [date=2016-05-29 00:00:00 GMT, high=0.00000217, low=0.0000013, open=0.00000162, close=0.0000015, volume=7.93341244, quoteVolume=5225141.2938241, weightedAverage=0.00000151]
PoloniexChartData [date=2016-05-30 00:00:00 GMT, high=0.0000024, low=0.00000147, open=0.00000151, close=0.0000021, volume=58.8000214, quoteVolume=27374457.795978, weightedAverage=0.00000214]
PoloniexChartData [date=2016-05-31 00:00:00 GMT, high=0.0000030, low=0.0000018, open=0.00000206, close=0.00000192, volume=25.23335132, quoteVolume=10841919.596164, weightedAverage=0.00000232]
PoloniexChartData [date=2016-06-01 00:00:00 GMT, high=0.00000249, low=0.0000017, open=0.00000194, close=0.0000021, volume=4.91356323, quoteVolume=2502829.468406, weightedAverage=0.00000196]
PoloniexChartData [date=2016-06-02 00:00:00 GMT, high=0.0000021, low=0.0000017, open=0.00000205, close=0.00000189, volume=3.37645571, quoteVolume=1865291.9442875, weightedAverage=0.00000181]
PoloniexChartData [date=2016-06-03 00:00:00 GMT, high=0.0000020, low=0.00000141, open=0.00000189, close=0.00000162, volume=8.83522453, quoteVolume=5865615.7536936, weightedAverage=0.0000015]
PoloniexChartData [date=2016-06-04 00:00:00 GMT, high=0.0000018, low=0.00000155, open=0.00000155, close=0.00000166, volume=1.30688491, quoteVolume=781228.85237294, weightedAverage=0.00000167]
PoloniexChartData [date=2016-06-05 00:00:00 GMT, high=0.0000018, low=0.0000015, open=0.00000167, close=0.00000154, volume=1.46167823, quoteVolume=888089.40480715, weightedAverage=0.00000164]
PoloniexChartData [date=2016-06-06 00:00:00 GMT, high=0.00000189, low=0.00000144, open=0.0000016, close=0.00000162, volume=2.04485951, quoteVolume=1280987.9587634, weightedAverage=0.00000159]
PoloniexChartData [date=2016-06-07 00:00:00 GMT, high=0.00000169, low=0.00000113, open=0.0000016, close=0.00000151, volume=4.76223253, quoteVolume=3615203.5037457, weightedAverage=0.00000131]
PoloniexChartData [date=2016-06-08 00:00:00 GMT, high=0.0000016, low=0.00000146, open=0.00000151, close=0.00000148, volume=0.80615484, quoteVolume=527559.50188868, weightedAverage=0.00000152]
PoloniexChartData [date=2016-06-09 00:00:00 GMT, high=0.00000275, low=0.00000127, open=0.00000144, close=0.00000206, volume=177.25465748, quoteVolume=87681689.701035, weightedAverage=0.00000202]
PoloniexChartData [date=2016-06-10 00:00:00 GMT, high=0.00000249, low=0.00000182, open=0.00000213, close=0.00000186, volume=45.7038865, quoteVolume=21785841.76379, weightedAverage=0.00000209]
PoloniexChartData [date=2016-06-11 00:00:00 GMT, high=0.00000254, low=0.0000015, open=0.00000185, close=0.00000195, volume=79.54853043, quoteVolume=43847460.698815, weightedAverage=0.00000181]
PoloniexChartData [date=2016-06-12 00:00:00 GMT, high=0.00000232, low=0.0000012, open=0.00000192, close=0.00000159, volume=151.02823429, quoteVolume=86000838.375995, weightedAverage=0.00000175]
PoloniexChartData [date=2016-06-13 00:00:00 GMT, high=0.00000169, low=0.00000131, open=0.0000016, close=0.00000152, volume=17.36717847, quoteVolume=11819815.965299, weightedAverage=0.00000146]
PoloniexChartData [date=2016-06-14 00:00:00 GMT, high=0.00000151, low=0.0000013, open=0.00000151, close=0.00000139, volume=5.15658304, quoteVolume=3675043.4918721, weightedAverage=0.0000014]
PoloniexChartData [date=2016-06-15 00:00:00 GMT, high=0.00000158, low=0.00000124, open=0.00000137, close=0.00000134, volume=4.76327757, quoteVolume=3367553.2400396, weightedAverage=0.00000141]
PoloniexChartData [date=2016-06-16 00:00:00 GMT, high=0.00000147, low=0.00000125, open=0.00000138, close=0.00000125, volume=2.8349318, quoteVolume=2118288.1273056, weightedAverage=0.00000133]
PoloniexChartData [date=2016-06-17 00:00:00 GMT, high=0.00000132, low=0.00000115, open=0.0000013, close=0.00000119, volume=1.88758423, quoteVolume=1546799.3948296, weightedAverage=0.00000122]
PoloniexChartData [date=2016-06-18 00:00:00 GMT, high=0.00000125, low=0.00000103, open=0.0000012, close=0.00000117, volume=2.77029554, quoteVolume=2424229.835186, weightedAverage=0.00000114]
PoloniexChartData [date=2016-06-19 00:00:00 GMT, high=0.00000129, low=0.0000010, open=0.00000117, close=0.00000122, volume=0.83260628, quoteVolume=755296.34349508, weightedAverage=0.0000011]
PoloniexChartData [date=2016-06-20 00:00:00 GMT, high=0.00000128, low=9.9E-7, open=0.00000121, close=0.00000118, volume=2.18299745, quoteVolume=1965220.1438404, weightedAverage=0.00000111]
PoloniexChartData [date=2016-06-21 00:00:00 GMT, high=0.00000129, low=0.00000105, open=0.00000117, close=0.00000111, volume=3.89329712, quoteVolume=3330412.445382, weightedAverage=0.00000116]
PoloniexChartData [date=2016-06-22 00:00:00 GMT, high=0.00000128, low=0.0000010, open=0.00000111, close=0.00000125, volume=6.99698761, quoteVolume=5951894.4724246, weightedAverage=0.00000117]
PoloniexChartData [date=2016-06-23 00:00:00 GMT, high=0.00000139, low=0.00000112, open=0.00000125, close=0.00000112, volume=4.17900053, quoteVolume=3502914.9065143, weightedAverage=0.00000119]
PoloniexChartData [date=2016-06-24 00:00:00 GMT, high=0.00000121, low=0.00000112, open=0.00000116, close=0.00000121, volume=1.90200336, quoteVolume=1637701.7675139, weightedAverage=0.00000116]
PoloniexChartData [date=2016-06-25 00:00:00 GMT, high=0.00000124, low=0.00000112, open=0.00000119, close=0.00000115, volume=2.13864336, quoteVolume=1843682.0005199, weightedAverage=0.00000115]
