PoloniexChartData [date=2016-05-21 00:00:00 GMT, high=7.3E-7, low=6.4E-7, open=6.5E-7, close=7.0E-7, volume=88.20947829, quoteVolume=128919189.13738, weightedAverage=6.8E-7]
PoloniexChartData [date=2016-05-22 00:00:00 GMT, high=7.6E-7, low=7.0E-7, open=7.0E-7, close=7.1E-7, volume=123.51152298, quoteVolume=168522905.09889, weightedAverage=7.3E-7]
PoloniexChartData [date=2016-05-23 00:00:00 GMT, high=7.4E-7, low=6.6E-7, open=7.1E-7, close=6.6E-7, volume=59.4304554, quoteVolume=86223885.462697, weightedAverage=6.8E-7]
PoloniexChartData [date=2016-05-24 00:00:00 GMT, high=9.1E-7, low=6.3E-7, open=6.6E-7, close=6.5E-7, volume=439.52674275, quoteVolume=577376425.20277, weightedAverage=7.6E-7]
PoloniexChartData [date=2016-05-25 00:00:00 GMT, high=7.6E-7, low=6.4E-7, open=6.4E-7, close=7.2E-7, volume=193.37292215, quoteVolume=275437606.56554, weightedAverage=7.0E-7]
PoloniexChartData [date=2016-05-26 00:00:00 GMT, high=7.4E-7, low=6.7E-7, open=7.3E-7, close=6.8E-7, volume=112.02238631, quoteVolume=158262375.66153, weightedAverage=7.0E-7]
PoloniexChartData [date=2016-05-27 00:00:00 GMT, high=6.9E-7, low=6.1E-7, open=6.9E-7, close=6.4E-7, volume=77.4784294, quoteVolume=121266261.57389, weightedAverage=6.3E-7]
PoloniexChartData [date=2016-05-28 00:00:00 GMT, high=6.5E-7, low=4.8E-7, open=6.4E-7, close=5.2E-7, volume=110.50537036, quoteVolume=194312615.12, weightedAverage=5.6E-7]
PoloniexChartData [date=2016-05-29 00:00:00 GMT, high=5.8E-7, low=5.2E-7, open=5.3E-7, close=5.6E-7, volume=48.33810471, quoteVolume=88007113.094611, weightedAverage=5.4E-7]
PoloniexChartData [date=2016-05-30 00:00:00 GMT, high=5.6E-7, low=5.1E-7, open=5.6E-7, close=5.6E-7, volume=41.41530117, quoteVolume=77498152.204992, weightedAverage=5.3E-7]
PoloniexChartData [date=2016-05-31 00:00:00 GMT, high=5.9E-7, low=5.4E-7, open=5.6E-7, close=5.7E-7, volume=54.92113456, quoteVolume=96594421.874941, weightedAverage=5.6E-7]
PoloniexChartData [date=2016-06-01 00:00:00 GMT, high=5.9E-7, low=5.5E-7, open=5.7E-7, close=5.6E-7, volume=37.32912802, quoteVolume=66442063.128054, weightedAverage=5.6E-7]
PoloniexChartData [date=2016-06-02 00:00:00 GMT, high=5.8E-7, low=5.3E-7, open=5.6E-7, close=5.4E-7, volume=26.79851201, quoteVolume=48764411.092483, weightedAverage=5.4E-7]
PoloniexChartData [date=2016-06-03 00:00:00 GMT, high=5.5E-7, low=4.8E-7, open=5.5E-7, close=5.0E-7, volume=37.55321445, quoteVolume=73657750.420699, weightedAverage=5.0E-7]
PoloniexChartData [date=2016-06-04 00:00:00 GMT, high=5.2E-7, low=4.9E-7, open=5.0E-7, close=5.1E-7, volume=30.43694544, quoteVolume=60037723.789309, weightedAverage=5.0E-7]
PoloniexChartData [date=2016-06-05 00:00:00 GMT, high=5.1E-7, low=4.9E-7, open=5.1E-7, close=4.9E-7, volume=11.83900584, quoteVolume=23752167.828591, weightedAverage=4.9E-7]
PoloniexChartData [date=2016-06-06 00:00:00 GMT, high=5.1E-7, low=4.6E-7, open=4.9E-7, close=4.8E-7, volume=19.58929815, quoteVolume=40599990.507149, weightedAverage=4.8E-7]
PoloniexChartData [date=2016-06-07 00:00:00 GMT, high=6.6E-7, low=4.6E-7, open=4.8E-7, close=6.4E-7, volume=285.63540467, quoteVolume=491321504.38593, weightedAverage=5.8E-7]
PoloniexChartData [date=2016-06-08 00:00:00 GMT, high=6.5E-7, low=5.7E-7, open=6.4E-7, close=5.8E-7, volume=135.49363763, quoteVolume=222920363.93103, weightedAverage=6.0E-7]
