PoloniexChartData [date=2016-05-22 00:00:00 GMT, high=2.2E-7, low=2.1E-7, open=2.2E-7, close=2.2E-7, volume=0.06211109, quoteVolume=283801.12841151, weightedAverage=2.1E-7]
PoloniexChartData [date=2016-05-23 00:00:00 GMT, high=2.4E-7, low=2.1E-7, open=2.2E-7, close=2.2E-7, volume=0.55545461, quoteVolume=2473632.5512334, weightedAverage=2.2E-7]
PoloniexChartData [date=2016-05-24 00:00:00 GMT, high=2.4E-7, low=2.1E-7, open=2.2E-7, close=2.2E-7, volume=0.19868651, quoteVolume=888450.7722365, weightedAverage=2.2E-7]
PoloniexChartData [date=2016-05-25 00:00:00 GMT, high=2.5E-7, low=1.9E-7, open=2.2E-7, close=2.2E-7, volume=2.30175399, quoteVolume=10779780.283116, weightedAverage=2.1E-7]
PoloniexChartData [date=2016-05-26 00:00:00 GMT, high=2.3E-7, low=2.0E-7, open=2.2E-7, close=2.1E-7, volume=0.20634565, quoteVolume=990196.66081952, weightedAverage=2.0E-7]
PoloniexChartData [date=2016-05-27 00:00:00 GMT, high=2.0E-7, low=1.8E-7, open=2.0E-7, close=1.8E-7, volume=0.40424887, quoteVolume=2118820.2260091, weightedAverage=1.9E-7]
PoloniexChartData [date=2016-05-28 00:00:00 GMT, high=1.8E-7, low=1.4E-7, open=1.8E-7, close=1.6E-7, volume=0.66546061, quoteVolume=4153674.9028467, weightedAverage=1.6E-7]
PoloniexChartData [date=2016-05-29 00:00:00 GMT, high=1.6E-7, low=1.1E-7, open=1.6E-7, close=1.3E-7, volume=0.5382654, quoteVolume=4067862.7485092, weightedAverage=1.3E-7]
PoloniexChartData [date=2016-05-30 00:00:00 GMT, high=1.5E-7, low=1.1E-7, open=1.3E-7, close=1.4E-7, volume=0.38721962, quoteVolume=2751641.9377354, weightedAverage=1.4E-7]
PoloniexChartData [date=2016-05-31 00:00:00 GMT, high=1.6E-7, low=1.2E-7, open=1.5E-7, close=1.5E-7, volume=0.30788504, quoteVolume=2260841.5345519, weightedAverage=1.3E-7]
PoloniexChartData [date=2016-06-01 00:00:00 GMT, high=1.7E-7, low=1.4E-7, open=1.5E-7, close=1.4E-7, volume=0.0767671, quoteVolume=511669.87914795, weightedAverage=1.5E-7]
PoloniexChartData [date=2016-06-02 00:00:00 GMT, high=1.7E-7, low=1.5E-7, open=1.5E-7, close=1.5E-7, volume=0.12287224, quoteVolume=778673.81956118, weightedAverage=1.5E-7]
PoloniexChartData [date=2016-06-03 00:00:00 GMT, high=1.6E-7, low=1.5E-7, open=1.5E-7, close=1.5E-7, volume=0.18750561, quoteVolume=1241513.8649072, weightedAverage=1.5E-7]
