PoloniexChartData [date=2015-05-19 00:00:00 GMT, high=7.7E-7, low=6.7E-7, open=7.1E-7, close=7.0E-7, volume=21.9852894, quoteVolume=30860489.961603, weightedAverage=7.1E-7]
PoloniexChartData [date=2015-05-20 00:00:00 GMT, high=7.6E-7, low=6.9E-7, open=7.0E-7, close=7.2E-7, volume=20.17750329, quoteVolume=27605079.958949, weightedAverage=7.3E-7]
PoloniexChartData [date=2015-05-21 00:00:00 GMT, high=7.9E-7, low=7.1E-7, open=7.2E-7, close=7.2E-7, volume=26.36342042, quoteVolume=35432979.347089, weightedAverage=7.4E-7]
PoloniexChartData [date=2015-05-22 00:00:00 GMT, high=7.7E-7, low=7.1E-7, open=7.3E-7, close=7.3E-7, volume=9.1778256, quoteVolume=12332141.107351, weightedAverage=7.4E-7]
PoloniexChartData [date=2015-05-23 00:00:00 GMT, high=7.5E-7, low=7.2E-7, open=7.3E-7, close=7.4E-7, volume=8.86413769, quoteVolume=12009438.157675, weightedAverage=7.3E-7]
PoloniexChartData [date=2015-05-24 00:00:00 GMT, high=7.5E-7, low=7.2E-7, open=7.2E-7, close=7.5E-7, volume=14.74837795, quoteVolume=20151748.758944, weightedAverage=7.3E-7]
PoloniexChartData [date=2015-05-25 00:00:00 GMT, high=8.0E-7, low=7.4E-7, open=7.6E-7, close=7.4E-7, volume=19.46925789, quoteVolume=25437741.373804, weightedAverage=7.6E-7]
PoloniexChartData [date=2015-05-26 00:00:00 GMT, high=8.0E-7, low=7.6E-7, open=7.6E-7, close=7.8E-7, volume=9.86125092, quoteVolume=12534747.593089, weightedAverage=7.8E-7]
PoloniexChartData [date=2015-05-27 00:00:00 GMT, high=8.5E-7, low=7.8E-7, open=7.8E-7, close=8.3E-7, volume=19.11182925, quoteVolume=23297926.696156, weightedAverage=8.2E-7]
PoloniexChartData [date=2015-05-28 00:00:00 GMT, high=8.4E-7, low=7.9E-7, open=8.3E-7, close=8.3E-7, volume=15.67867284, quoteVolume=19283691.207339, weightedAverage=8.1E-7]
PoloniexChartData [date=2015-05-29 00:00:00 GMT, high=8.3E-7, low=7.6E-7, open=8.2E-7, close=7.6E-7, volume=22.98730187, quoteVolume=28934207.4635, weightedAverage=7.9E-7]
PoloniexChartData [date=2015-05-30 00:00:00 GMT, high=8.2E-7, low=7.7E-7, open=8.0E-7, close=7.8E-7, volume=14.70255735, quoteVolume=18538618.113517, weightedAverage=7.9E-7]
PoloniexChartData [date=2015-05-31 00:00:00 GMT, high=7.9E-7, low=7.2E-7, open=7.9E-7, close=7.6E-7, volume=12.18941679, quoteVolume=15973893.269562, weightedAverage=7.6E-7]
PoloniexChartData [date=2015-06-01 00:00:00 GMT, high=7.9E-7, low=7.3E-7, open=7.5E-7, close=7.6E-7, volume=10.53774967, quoteVolume=13927019.379109, weightedAverage=7.5E-7]
PoloniexChartData [date=2015-06-02 00:00:00 GMT, high=8.2E-7, low=7.4E-7, open=7.5E-7, close=7.8E-7, volume=10.10407801, quoteVolume=12924763.511712, weightedAverage=7.8E-7]
PoloniexChartData [date=2015-06-03 00:00:00 GMT, high=8.0E-7, low=7.7E-7, open=7.9E-7, close=7.8E-7, volume=3.94769063, quoteVolume=5077052.2601808, weightedAverage=7.7E-7]
PoloniexChartData [date=2015-06-04 00:00:00 GMT, high=7.8E-7, low=7.5E-7, open=7.8E-7, close=7.6E-7, volume=8.27634726, quoteVolume=10808752.936679, weightedAverage=7.6E-7]
PoloniexChartData [date=2015-06-05 00:00:00 GMT, high=7.9E-7, low=7.5E-7, open=7.6E-7, close=7.7E-7, volume=10.28632373, quoteVolume=13498226.225595, weightedAverage=7.6E-7]
PoloniexChartData [date=2015-06-06 00:00:00 GMT, high=7.7E-7, low=7.2E-7, open=7.7E-7, close=7.5E-7, volume=10.76764592, quoteVolume=14553407.885765, weightedAverage=7.3E-7]
PoloniexChartData [date=2015-06-07 00:00:00 GMT, high=7.6E-7, low=7.1E-7, open=7.5E-7, close=7.4E-7, volume=6.73049235, quoteVolume=9220926.9904197, weightedAverage=7.2E-7]
PoloniexChartData [date=2015-06-08 00:00:00 GMT, high=7.5E-7, low=7.3E-7, open=7.4E-7, close=7.5E-7, volume=5.16551795, quoteVolume=6981751.2151597, weightedAverage=7.3E-7]
PoloniexChartData [date=2015-06-09 00:00:00 GMT, high=7.5E-7, low=5.7E-7, open=7.5E-7, close=5.7E-7, volume=31.78706538, quoteVolume=48119280.03739, weightedAverage=6.6E-7]
PoloniexChartData [date=2015-06-10 00:00:00 GMT, high=7.0E-7, low=5.5E-7, open=6.3E-7, close=6.7E-7, volume=9.60632813, quoteVolume=15230695.859158, weightedAverage=6.3E-7]
PoloniexChartData [date=2015-06-11 00:00:00 GMT, high=6.8E-7, low=5.8E-7, open=6.6E-7, close=6.4E-7, volume=14.29451745, quoteVolume=22798337.072523, weightedAverage=6.2E-7]
PoloniexChartData [date=2015-06-12 00:00:00 GMT, high=6.6E-7, low=5.8E-7, open=6.2E-7, close=6.2E-7, volume=9.89813122, quoteVolume=15959175.461835, weightedAverage=6.2E-7]
PoloniexChartData [date=2015-06-13 00:00:00 GMT, high=6.5E-7, low=6.2E-7, open=6.3E-7, close=6.4E-7, volume=3.43503768, quoteVolume=5348345.279412, weightedAverage=6.4E-7]
PoloniexChartData [date=2015-06-14 00:00:00 GMT, high=6.8E-7, low=6.2E-7, open=6.5E-7, close=6.5E-7, volume=6.59552957, quoteVolume=10179574.93184, weightedAverage=6.4E-7]
PoloniexChartData [date=2015-06-15 00:00:00 GMT, high=6.8E-7, low=5.1E-7, open=6.5E-7, close=6.2E-7, volume=28.37315868, quoteVolume=46238390.708038, weightedAverage=6.1E-7]
PoloniexChartData [date=2015-06-16 00:00:00 GMT, high=6.6E-7, low=6.0E-7, open=6.2E-7, close=6.2E-7, volume=8.89125472, quoteVolume=14006286.006588, weightedAverage=6.3E-7]
PoloniexChartData [date=2015-06-17 00:00:00 GMT, high=6.9E-7, low=6.3E-7, open=6.3E-7, close=6.5E-7, volume=10.51152322, quoteVolume=15949538.56961, weightedAverage=6.5E-7]
PoloniexChartData [date=2015-06-18 00:00:00 GMT, high=6.7E-7, low=6.4E-7, open=6.5E-7, close=6.7E-7, volume=2.9634186, quoteVolume=4498668.6384796, weightedAverage=6.5E-7]
PoloniexChartData [date=2015-06-19 00:00:00 GMT, high=6.8E-7, low=6.1E-7, open=6.6E-7, close=6.1E-7, volume=11.36835801, quoteVolume=17932516.609444, weightedAverage=6.3E-7]
