PoloniexChartData [date=2015-05-19 00:00:00 GMT, high=1.1E-7, low=7.0E-8, open=1.0E-7, close=9.0E-8, volume=6.89327346, quoteVolume=79801217.748959, weightedAverage=8.0E-8]
PoloniexChartData [date=2015-05-20 00:00:00 GMT, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=8.0E-8, volume=1.15339663, quoteVolume=13389766.711828, weightedAverage=8.0E-8]
PoloniexChartData [date=2015-05-21 00:00:00 GMT, high=1.0E-7, low=8.0E-8, open=8.0E-8, close=9.0E-8, volume=0.9800706, quoteVolume=10364011.664738, weightedAverage=9.0E-8]
PoloniexChartData [date=2015-05-22 00:00:00 GMT, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=9.0E-8, volume=1.16459391, quoteVolume=13113469.389379, weightedAverage=8.0E-8]
PoloniexChartData [date=2015-05-23 00:00:00 GMT, high=1.2E-7, low=8.0E-8, open=1.0E-7, close=1.0E-7, volume=5.2076355, quoteVolume=47931451.530603, weightedAverage=1.0E-7]
PoloniexChartData [date=2015-05-24 00:00:00 GMT, high=1.3E-7, low=9.0E-8, open=1.0E-7, close=9.0E-8, volume=5.78260035, quoteVolume=53011716.390739, weightedAverage=1.0E-7]
PoloniexChartData [date=2015-05-25 00:00:00 GMT, high=1.3E-7, low=1.0E-7, open=1.0E-7, close=1.1E-7, volume=9.17678947, quoteVolume=74718492.170973, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-05-26 00:00:00 GMT, high=1.2E-7, low=1.1E-7, open=1.1E-7, close=1.1E-7, volume=3.87132696, quoteVolume=34838904.515243, weightedAverage=1.1E-7]
PoloniexChartData [date=2015-05-27 00:00:00 GMT, high=1.3E-7, low=1.1E-7, open=1.1E-7, close=1.2E-7, volume=7.11653398, quoteVolume=58954470.648675, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-05-28 00:00:00 GMT, high=1.4E-7, low=1.1E-7, open=1.2E-7, close=1.2E-7, volume=4.02308958, quoteVolume=31676345.117751, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-05-29 00:00:00 GMT, high=1.4E-7, low=1.2E-7, open=1.2E-7, close=1.2E-7, volume=2.77877719, quoteVolume=22399625.756526, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-05-30 00:00:00 GMT, high=1.7E-7, low=1.2E-7, open=1.2E-7, close=1.3E-7, volume=15.3608472, quoteVolume=102736792.23188, weightedAverage=1.4E-7]
PoloniexChartData [date=2015-05-31 00:00:00 GMT, high=0.00000179, low=1.2E-7, open=1.3E-7, close=1.5E-7, volume=111.54081737, quoteVolume=364201377.9008, weightedAverage=3.0E-7]
PoloniexChartData [date=2015-06-01 00:00:00 GMT, high=2.4E-7, low=1.4E-7, open=1.6E-7, close=1.6E-7, volume=23.51573629, quoteVolume=148596257.79342, weightedAverage=1.5E-7]
PoloniexChartData [date=2015-06-02 00:00:00 GMT, high=1.6E-7, low=1.2E-7, open=1.5E-7, close=1.3E-7, volume=17.34229219, quoteVolume=132850451.83644, weightedAverage=1.3E-7]
PoloniexChartData [date=2015-06-03 00:00:00 GMT, high=1.4E-7, low=1.2E-7, open=1.3E-7, close=1.2E-7, volume=5.15445396, quoteVolume=42491219.438957, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-06-04 00:00:00 GMT, high=1.4E-7, low=1.2E-7, open=1.2E-7, close=1.3E-7, volume=1.33911306, quoteVolume=10992083.156577, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-06-05 00:00:00 GMT, high=1.4E-7, low=1.2E-7, open=1.2E-7, close=1.3E-7, volume=1.8705624, quoteVolume=14780220.431539, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-06-06 00:00:00 GMT, high=1.5E-7, low=1.2E-7, open=1.4E-7, close=1.3E-7, volume=3.92320232, quoteVolume=29643832.468349, weightedAverage=1.3E-7]
PoloniexChartData [date=2015-06-07 00:00:00 GMT, high=1.3E-7, low=1.2E-7, open=1.2E-7, close=1.3E-7, volume=0.96741798, quoteVolume=7631445.5468228, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-06-08 00:00:00 GMT, high=1.4E-7, low=1.2E-7, open=1.2E-7, close=1.2E-7, volume=1.47390388, quoteVolume=12002300.542742, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-06-09 00:00:00 GMT, high=1.4E-7, low=1.2E-7, open=1.2E-7, close=1.2E-7, volume=5.49749472, quoteVolume=43526531.302843, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-06-10 00:00:00 GMT, high=1.5E-7, low=1.2E-7, open=1.2E-7, close=1.3E-7, volume=4.83218077, quoteVolume=34906616.446669, weightedAverage=1.3E-7]
PoloniexChartData [date=2015-06-11 00:00:00 GMT, high=1.5E-7, low=1.2E-7, open=1.3E-7, close=1.3E-7, volume=5.11524981, quoteVolume=39557580.442387, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-06-12 00:00:00 GMT, high=1.4E-7, low=1.2E-7, open=1.3E-7, close=1.2E-7, volume=0.91425079, quoteVolume=6971404.280374, weightedAverage=1.3E-7]
PoloniexChartData [date=2015-06-13 00:00:00 GMT, high=1.3E-7, low=1.2E-7, open=1.3E-7, close=1.2E-7, volume=0.75627395, quoteVolume=6236534.1460663, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-06-14 00:00:00 GMT, high=1.3E-7, low=1.1E-7, open=1.2E-7, close=1.2E-7, volume=4.89642504, quoteVolume=42011570.532422, weightedAverage=1.1E-7]
PoloniexChartData [date=2015-06-15 00:00:00 GMT, high=1.3E-7, low=1.1E-7, open=1.2E-7, close=1.3E-7, volume=1.18889042, quoteVolume=10031270.556792, weightedAverage=1.1E-7]
PoloniexChartData [date=2015-06-16 00:00:00 GMT, high=1.3E-7, low=1.0E-7, open=1.2E-7, close=1.1E-7, volume=13.96843353, quoteVolume=127290762.65625, weightedAverage=1.0E-7]
PoloniexChartData [date=2015-06-17 00:00:00 GMT, high=1.4E-7, low=1.0E-7, open=1.0E-7, close=1.3E-7, volume=9.58194414, quoteVolume=76561152.470044, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-06-18 00:00:00 GMT, high=1.3E-7, low=1.2E-7, open=1.2E-7, close=1.2E-7, volume=0.46921621, quoteVolume=3851239.6537288, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-06-19 00:00:00 GMT, high=1.3E-7, low=1.2E-7, open=1.2E-7, close=1.2E-7, volume=0.74081504, quoteVolume=6157214.7794108, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-06-20 00:00:00 GMT, high=1.2E-7, low=1.1E-7, open=1.2E-7, close=1.1E-7, volume=2.4179711, quoteVolume=21949746.662369, weightedAverage=1.1E-7]
PoloniexChartData [date=2015-06-21 00:00:00 GMT, high=1.2E-7, low=1.1E-7, open=1.1E-7, close=1.1E-7, volume=0.28453739, quoteVolume=2579674.0224358, weightedAverage=1.1E-7]
PoloniexChartData [date=2015-06-22 00:00:00 GMT, high=1.3E-7, low=1.1E-7, open=1.1E-7, close=1.2E-7, volume=6.93904563, quoteVolume=56106428.663543, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-06-23 00:00:00 GMT, high=1.3E-7, low=1.1E-7, open=1.2E-7, close=1.1E-7, volume=1.58102061, quoteVolume=14200513.408997, weightedAverage=1.1E-7]
PoloniexChartData [date=2015-06-24 00:00:00 GMT, high=1.3E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=8.00518549, quoteVolume=66072622.910581, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-06-25 00:00:00 GMT, high=1.3E-7, low=1.1E-7, open=1.1E-7, close=1.1E-7, volume=8.71905333, quoteVolume=78784177.474584, weightedAverage=1.1E-7]
PoloniexChartData [date=2015-06-26 00:00:00 GMT, high=1.3E-7, low=1.0E-7, open=1.0E-7, close=1.2E-7, volume=19.36907459, quoteVolume=156890827.42664, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-06-27 00:00:00 GMT, high=1.3E-7, low=1.1E-7, open=1.1E-7, close=1.1E-7, volume=3.77919367, quoteVolume=33890880.258223, weightedAverage=1.1E-7]
PoloniexChartData [date=2015-06-28 00:00:00 GMT, high=1.2E-7, low=1.1E-7, open=1.1E-7, close=1.1E-7, volume=1.18905072, quoteVolume=10098204.70706, weightedAverage=1.1E-7]
PoloniexChartData [date=2015-06-29 00:00:00 GMT, high=1.3E-7, low=1.1E-7, open=1.1E-7, close=1.3E-7, volume=7.74803101, quoteVolume=60418311.101139, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-06-30 00:00:00 GMT, high=1.3E-7, low=1.2E-7, open=1.3E-7, close=1.2E-7, volume=4.99118261, quoteVolume=40601154.688151, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-07-01 00:00:00 GMT, high=1.3E-7, low=1.2E-7, open=1.2E-7, close=1.2E-7, volume=2.08006648, quoteVolume=17333567.524574, weightedAverage=1.2E-7]
