PoloniexChartData [date=Sun May 22 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=1.0E-7, volume=0.26357434, quoteVolume=2895270.5433071, weightedAverage=9.0E-8]
PoloniexChartData [date=Mon May 23 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=1.0E-7, close=8.0E-8, volume=0.56296755, quoteVolume=6611613.2851948, weightedAverage=8.0E-8]
PoloniexChartData [date=Tue May 24 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=8.0E-8, close=1.0E-7, volume=0.24064036, quoteVolume=2592859.2585337, weightedAverage=9.0E-8]
PoloniexChartData [date=Wed May 25 20:00:00 EDT 2016, high=1.0E-7, low=6.0E-8, open=9.0E-8, close=8.0E-8, volume=1.31501508, quoteVolume=17900140.938357, weightedAverage=7.0E-8]
PoloniexChartData [date=Thu May 26 20:00:00 EDT 2016, high=8.0E-8, low=7.0E-8, open=8.0E-8, close=8.0E-8, volume=0.2612988, quoteVolume=3699230.4094514, weightedAverage=7.0E-8]
PoloniexChartData [date=Fri May 27 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=7.0E-8, close=6.0E-8, volume=0.22901667, quoteVolume=3304384.1609018, weightedAverage=6.0E-8]
PoloniexChartData [date=Sat May 28 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=7.0E-8, close=6.0E-8, volume=0.21620613, quoteVolume=3530842.2398796, weightedAverage=6.0E-8]
PoloniexChartData [date=Sun May 29 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=6.0E-8, close=7.0E-8, volume=0.10100894, quoteVolume=1563262.2263571, weightedAverage=6.0E-8]
PoloniexChartData [date=Mon May 30 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=7.0E-8, close=7.0E-8, volume=0.04316506, quoteVolume=617071.26519111, weightedAverage=6.0E-8]
PoloniexChartData [date=Tue May 31 20:00:00 EDT 2016, high=8.0E-8, low=7.0E-8, open=7.0E-8, close=7.0E-8, volume=0.09290182, quoteVolume=1166168.8646857, weightedAverage=7.0E-8]
PoloniexChartData [date=Wed Jun 01 20:00:00 EDT 2016, high=8.0E-8, low=7.0E-8, open=8.0E-8, close=7.0E-8, volume=0.51136081, quoteVolume=6393227.7496875, weightedAverage=7.0E-8]
PoloniexChartData [date=Thu Jun 02 20:00:00 EDT 2016, high=8.0E-8, low=7.0E-8, open=7.0E-8, close=7.0E-8, volume=0.11930327, quoteVolume=1702903.859526, weightedAverage=7.0E-8]
PoloniexChartData [date=Fri Jun 03 20:00:00 EDT 2016, high=7.0E-8, low=7.0E-8, open=7.0E-8, close=7.0E-8, volume=0.12626764, quoteVolume=1803823.4904712, weightedAverage=7.0E-8]
PoloniexChartData [date=Sat Jun 04 20:00:00 EDT 2016, high=8.0E-8, low=7.0E-8, open=7.0E-8, close=7.0E-8, volume=0.13629742, quoteVolume=1710326.875, weightedAverage=7.0E-8]
PoloniexChartData [date=Sun Jun 05 20:00:00 EDT 2016, high=8.0E-8, low=7.0E-8, open=8.0E-8, close=7.0E-8, volume=0.28859377, quoteVolume=3673868.1496365, weightedAverage=7.0E-8]
PoloniexChartData [date=Mon Jun 06 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=6.0E-8, close=6.0E-8, volume=0.52695504, quoteVolume=8228133.2560247, weightedAverage=6.0E-8]
PoloniexChartData [date=Tue Jun 07 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=7.0E-8, close=6.0E-8, volume=0.04323357, quoteVolume=695933.62857141, weightedAverage=6.0E-8]
PoloniexChartData [date=Wed Jun 08 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=7.0E-8, close=7.0E-8, volume=0.08334991, quoteVolume=1208790.4626122, weightedAverage=6.0E-8]
PoloniexChartData [date=Thu Jun 09 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=8.0E-8, close=7.0E-8, volume=0.86942301, quoteVolume=14084338.981845, weightedAverage=6.0E-8]
PoloniexChartData [date=Fri Jun 10 20:00:00 EDT 2016, high=8.0E-8, low=7.0E-8, open=7.0E-8, close=7.0E-8, volume=0.03534963, quoteVolume=498273.29616524, weightedAverage=7.0E-8]
PoloniexChartData [date=Sat Jun 11 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=6.0E-8, close=6.0E-8, volume=0.3081385, quoteVolume=5126283.8100897, weightedAverage=6.0E-8]
PoloniexChartData [date=Sun Jun 12 20:00:00 EDT 2016, high=8.0E-8, low=5.0E-8, open=6.0E-8, close=6.0E-8, volume=0.22842321, quoteVolume=3654891.2302988, weightedAverage=6.0E-8]
PoloniexChartData [date=Mon Jun 13 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=7.0E-8, close=7.0E-8, volume=0.17881309, quoteVolume=2812145.0785812, weightedAverage=6.0E-8]
PoloniexChartData [date=Tue Jun 14 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=6.0E-8, close=6.0E-8, volume=0.85016361, quoteVolume=14143122.113069, weightedAverage=6.0E-8]
PoloniexChartData [date=Wed Jun 15 20:00:00 EDT 2016, high=7.0E-8, low=5.0E-8, open=7.0E-8, close=6.0E-8, volume=0.03421906, quoteVolume=601596.05207696, weightedAverage=5.0E-8]
PoloniexChartData [date=Thu Jun 16 20:00:00 EDT 2016, high=6.0E-8, low=4.0E-8, open=6.0E-8, close=5.0E-8, volume=0.70593421, quoteVolume=14174744.55569, weightedAverage=4.0E-8]
PoloniexChartData [date=Fri Jun 17 20:00:00 EDT 2016, high=5.0E-8, low=4.0E-8, open=5.0E-8, close=4.0E-8, volume=0.06912584, quoteVolume=1392392.2383333, weightedAverage=4.0E-8]
PoloniexChartData [date=Sat Jun 18 20:00:00 EDT 2016, high=5.0E-8, low=4.0E-8, open=4.0E-8, close=4.0E-8, volume=0.3449815, quoteVolume=8510082.8288438, weightedAverage=4.0E-8]
PoloniexChartData [date=Sun Jun 19 20:00:00 EDT 2016, high=5.0E-8, low=4.0E-8, open=5.0E-8, close=5.0E-8, volume=0.34714241, quoteVolume=6991433.6192016, weightedAverage=4.0E-8]
PoloniexChartData [date=Mon Jun 20 20:00:00 EDT 2016, high=6.0E-8, low=5.0E-8, open=5.0E-8, close=6.0E-8, volume=0.19264651, quoteVolume=3369444.4633333, weightedAverage=5.0E-8]
PoloniexChartData [date=Tue Jun 21 20:00:00 EDT 2016, high=6.0E-8, low=5.0E-8, open=6.0E-8, close=5.0E-8, volume=0.03763555, quoteVolume=701528.98333334, weightedAverage=5.0E-8]
PoloniexChartData [date=Wed Jun 22 20:00:00 EDT 2016, high=7.0E-8, low=5.0E-8, open=6.0E-8, close=5.0E-8, volume=0.55519193, quoteVolume=10509556.665736, weightedAverage=5.0E-8]
PoloniexChartData [date=Thu Jun 23 20:00:00 EDT 2016, high=6.0E-8, low=5.0E-8, open=6.0E-8, close=5.0E-8, volume=0.16490236, quoteVolume=3262824.1525139, weightedAverage=5.0E-8]
PoloniexChartData [date=Fri Jun 24 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=7.0E-8, close=7.0E-8, volume=0.1439325, quoteVolume=2094054.1467728, weightedAverage=6.0E-8]
PoloniexChartData [date=Sat Jun 25 20:00:00 EDT 2016, high=7.0E-8, low=5.0E-8, open=6.0E-8, close=6.0E-8, volume=0.25920818, quoteVolume=4116157.4252102, weightedAverage=6.0E-8]
PoloniexChartData [date=Sun Jun 26 20:00:00 EDT 2016, high=9.0E-8, low=6.0E-8, open=6.0E-8, close=9.0E-8, volume=1.21842267, quoteVolume=15565047.94301, weightedAverage=7.0E-8]
PoloniexChartData [date=Mon Jun 27 20:00:00 EDT 2016, high=8.0E-8, low=7.0E-8, open=7.0E-8, close=7.0E-8, volume=0.24574134, quoteVolume=3488946.3730326, weightedAverage=7.0E-8]
PoloniexChartData [date=Tue Jun 28 20:00:00 EDT 2016, high=8.0E-8, low=7.0E-8, open=8.0E-8, close=8.0E-8, volume=0.12118127, quoteVolume=1520855.56265, weightedAverage=7.0E-8]
PoloniexChartData [date=Wed Jun 29 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=7.0E-8, close=6.0E-8, volume=0.32472681, quoteVolume=4200529.3350912, weightedAverage=7.0E-8]
PoloniexChartData [date=Thu Jun 30 20:00:00 EDT 2016, high=8.0E-8, low=7.0E-8, open=7.0E-8, close=8.0E-8, volume=0.3108512, quoteVolume=4177510.7579219, weightedAverage=7.0E-8]
PoloniexChartData [date=Fri Jul 01 20:00:00 EDT 2016, high=8.0E-8, low=7.0E-8, open=8.0E-8, close=8.0E-8, volume=1.19021135, quoteVolume=15361745.227345, weightedAverage=7.0E-8]
PoloniexChartData [date=Sat Jul 02 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=8.0E-8, close=8.0E-8, volume=1.12667042, quoteVolume=16032208.388369, weightedAverage=7.0E-8]
PoloniexChartData [date=Sun Jul 03 20:00:00 EDT 2016, high=1.3E-7, low=6.0E-8, open=7.0E-8, close=1.1E-7, volume=10.0620732, quoteVolume=96954958.663765, weightedAverage=1.0E-7]
PoloniexChartData [date=Mon Jul 04 20:00:00 EDT 2016, high=2.8E-7, low=1.0E-7, open=1.1E-7, close=1.4E-7, volume=101.06863828, quoteVolume=573138936.19587, weightedAverage=1.7E-7]
PoloniexChartData [date=Tue Jul 05 20:00:00 EDT 2016, high=1.9E-7, low=1.0E-7, open=1.5E-7, close=1.2E-7, volume=12.92317816, quoteVolume=90801993.721024, weightedAverage=1.4E-7]
PoloniexChartData [date=Wed Jul 06 20:00:00 EDT 2016, high=1.5E-7, low=1.0E-7, open=1.3E-7, close=1.4E-7, volume=3.83611551, quoteVolume=32211690.813377, weightedAverage=1.1E-7]
PoloniexChartData [date=Thu Jul 07 20:00:00 EDT 2016, high=1.4E-7, low=9.0E-8, open=1.3E-7, close=1.3E-7, volume=4.04991234, quoteVolume=35746599.588537, weightedAverage=1.1E-7]
PoloniexChartData [date=Fri Jul 08 20:00:00 EDT 2016, high=1.3E-7, low=9.0E-8, open=1.2E-7, close=1.1E-7, volume=3.78765561, quoteVolume=36025322.467951, weightedAverage=1.0E-7]
PoloniexChartData [date=Sat Jul 09 20:00:00 EDT 2016, high=1.4E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=5.35925315, quoteVolume=46878986.20065, weightedAverage=1.1E-7]
PoloniexChartData [date=Sun Jul 10 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=1.95502948, quoteVolume=18338528.254884, weightedAverage=1.0E-7]
PoloniexChartData [date=Mon Jul 11 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.0E-7, volume=3.65567299, quoteVolume=34532636.817122, weightedAverage=1.0E-7]
PoloniexChartData [date=Tue Jul 12 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=5.37643844, quoteVolume=51546988.339195, weightedAverage=1.0E-7]
PoloniexChartData [date=Wed Jul 13 20:00:00 EDT 2016, high=1.4E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=7.87353473, quoteVolume=64093158.414101, weightedAverage=1.2E-7]
PoloniexChartData [date=Thu Jul 14 20:00:00 EDT 2016, high=1.8E-7, low=1.1E-7, open=1.1E-7, close=1.6E-7, volume=15.40931799, quoteVolume=99162444.602446, weightedAverage=1.5E-7]
PoloniexChartData [date=Fri Jul 15 20:00:00 EDT 2016, high=1.7E-7, low=1.3E-7, open=1.6E-7, close=1.5E-7, volume=7.4753684, quoteVolume=51266805.207023, weightedAverage=1.4E-7]
PoloniexChartData [date=Sat Jul 16 20:00:00 EDT 2016, high=1.5E-7, low=1.2E-7, open=1.4E-7, close=1.3E-7, volume=4.18684023, quoteVolume=32173050.968647, weightedAverage=1.3E-7]
PoloniexChartData [date=Sun Jul 17 20:00:00 EDT 2016, high=1.4E-7, low=1.2E-7, open=1.3E-7, close=1.3E-7, volume=3.37334841, quoteVolume=25936097.978619, weightedAverage=1.3E-7]
PoloniexChartData [date=Mon Jul 18 20:00:00 EDT 2016, high=1.4E-7, low=1.2E-7, open=1.3E-7, close=1.4E-7, volume=1.18922738, quoteVolume=9191407.6088438, weightedAverage=1.2E-7]
PoloniexChartData [date=Tue Jul 19 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.2E-7, close=1.3E-7, volume=5.04870206, quoteVolume=42151946.699315, weightedAverage=1.1E-7]
PoloniexChartData [date=Wed Jul 20 20:00:00 EDT 2016, high=1.4E-7, low=1.2E-7, open=1.2E-7, close=1.4E-7, volume=2.45534314, quoteVolume=18947951.058022, weightedAverage=1.2E-7]
PoloniexChartData [date=Thu Jul 21 20:00:00 EDT 2016, high=1.4E-7, low=1.2E-7, open=1.3E-7, close=1.4E-7, volume=1.21146283, quoteVolume=9883520.6176834, weightedAverage=1.2E-7]
PoloniexChartData [date=Fri Jul 22 20:00:00 EDT 2016, high=1.4E-7, low=1.2E-7, open=1.3E-7, close=1.3E-7, volume=1.08464903, quoteVolume=8572195.001876, weightedAverage=1.2E-7]
PoloniexChartData [date=Sat Jul 23 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.3E-7, close=1.1E-7, volume=2.24150713, quoteVolume=18905395.24898, weightedAverage=1.1E-7]
PoloniexChartData [date=Sun Jul 24 20:00:00 EDT 2016, high=1.2E-7, low=1.1E-7, open=1.2E-7, close=1.2E-7, volume=0.2492184, quoteVolume=2175912.0941026, weightedAverage=1.1E-7]
PoloniexChartData [date=Mon Jul 25 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=4.55367997, quoteVolume=42958545.451368, weightedAverage=1.0E-7]
PoloniexChartData [date=Tue Jul 26 20:00:00 EDT 2016, high=1.1E-7, low=8.0E-8, open=1.1E-7, close=1.0E-7, volume=4.42294165, quoteVolume=49081780.064104, weightedAverage=9.0E-8]
PoloniexChartData [date=Wed Jul 27 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=0.24110659, quoteVolume=2433644.1073891, weightedAverage=9.0E-8]
PoloniexChartData [date=Thu Jul 28 20:00:00 EDT 2016, high=1.0E-7, low=7.0E-8, open=1.0E-7, close=1.0E-7, volume=6.53097529, quoteVolume=79566284.064029, weightedAverage=8.0E-8]
PoloniexChartData [date=Fri Jul 29 20:00:00 EDT 2016, high=1.1E-7, low=8.0E-8, open=1.0E-7, close=1.0E-7, volume=4.12029959, quoteVolume=45056278.421778, weightedAverage=9.0E-8]
