PoloniexChartData [date=Sun Jun 05 20:00:00 EDT 2016, high=5.1E-7, low=4.6E-7, open=4.9E-7, close=4.8E-7, volume=19.58929815, quoteVolume=40599990.507149, weightedAverage=4.8E-7]
PoloniexChartData [date=Mon Jun 06 20:00:00 EDT 2016, high=6.6E-7, low=4.6E-7, open=4.8E-7, close=6.4E-7, volume=285.63540467, quoteVolume=491321504.38593, weightedAverage=5.8E-7]
PoloniexChartData [date=Tue Jun 07 20:00:00 EDT 2016, high=6.5E-7, low=5.7E-7, open=6.4E-7, close=5.8E-7, volume=135.49363763, quoteVolume=222920363.93103, weightedAverage=6.0E-7]
PoloniexChartData [date=Wed Jun 08 20:00:00 EDT 2016, high=5.9E-7, low=5.4E-7, open=5.8E-7, close=5.6E-7, volume=64.96626592, quoteVolume=115533326.1045, weightedAverage=5.6E-7]
PoloniexChartData [date=Thu Jun 09 20:00:00 EDT 2016, high=6.3E-7, low=5.4E-7, open=5.5E-7, close=6.1E-7, volume=86.26685624, quoteVolume=147742545.59993, weightedAverage=5.8E-7]
PoloniexChartData [date=Fri Jun 10 20:00:00 EDT 2016, high=6.2E-7, low=5.6E-7, open=6.1E-7, close=5.6E-7, volume=26.73634792, quoteVolume=46109360.90993, weightedAverage=5.7E-7]
PoloniexChartData [date=Sat Jun 11 20:00:00 EDT 2016, high=5.6E-7, low=4.7E-7, open=5.6E-7, close=4.9E-7, volume=106.31237138, quoteVolume=210105424.78125, weightedAverage=5.0E-7]
PoloniexChartData [date=Sun Jun 12 20:00:00 EDT 2016, high=5.9E-7, low=4.8E-7, open=4.9E-7, close=5.0E-7, volume=122.90305565, quoteVolume=235858609.1591, weightedAverage=5.2E-7]
PoloniexChartData [date=Mon Jun 13 20:00:00 EDT 2016, high=5.4E-7, low=4.8E-7, open=5.0E-7, close=5.1E-7, volume=89.55214764, quoteVolume=174233526.08108, weightedAverage=5.1E-7]
PoloniexChartData [date=Tue Jun 14 20:00:00 EDT 2016, high=5.3E-7, low=5.0E-7, open=5.1E-7, close=5.1E-7, volume=33.56929792, quoteVolume=65208479.754306, weightedAverage=5.1E-7]
