PoloniexChartData [date=Sat Jun 04 20:00:00 EDT 2016, high=3.1E-7, low=2.9E-7, open=3.0E-7, close=3.1E-7, volume=0.05326974, quoteVolume=179763.54082009, weightedAverage=2.9E-7]
PoloniexChartData [date=Sun Jun 05 20:00:00 EDT 2016, high=3.1E-7, low=2.7E-7, open=2.9E-7, close=2.9E-7, volume=0.2160127, quoteVolume=750318.80261661, weightedAverage=2.8E-7]
PoloniexChartData [date=Mon Jun 06 20:00:00 EDT 2016, high=3.2E-7, low=2.8E-7, open=3.0E-7, close=3.0E-7, volume=0.17977777, quoteVolume=596173.07381737, weightedAverage=3.0E-7]
PoloniexChartData [date=Tue Jun 07 20:00:00 EDT 2016, high=3.2E-7, low=2.8E-7, open=3.0E-7, close=2.9E-7, volume=0.18515323, quoteVolume=633198.59182016, weightedAverage=2.9E-7]
PoloniexChartData [date=Wed Jun 08 20:00:00 EDT 2016, high=3.2E-7, low=2.8E-7, open=2.9E-7, close=3.2E-7, volume=0.05123859, quoteVolume=167221.25794979, weightedAverage=3.0E-7]
PoloniexChartData [date=Thu Jun 09 20:00:00 EDT 2016, high=3.4E-7, low=3.1E-7, open=3.3E-7, close=3.1E-7, volume=0.04583955, quoteVolume=143260.43105558, weightedAverage=3.1E-7]
PoloniexChartData [date=Fri Jun 10 20:00:00 EDT 2016, high=4.9E-7, low=2.9E-7, open=3.2E-7, close=3.9E-7, volume=1.56490334, quoteVolume=3999268.5566169, weightedAverage=3.9E-7]
PoloniexChartData [date=Sat Jun 11 20:00:00 EDT 2016, high=4.4E-7, low=3.1E-7, open=3.7E-7, close=3.7E-7, volume=0.51061321, quoteVolume=1360003.4256965, weightedAverage=3.7E-7]
PoloniexChartData [date=Sun Jun 12 20:00:00 EDT 2016, high=5.3E-7, low=2.1E-7, open=3.7E-7, close=3.1E-7, volume=3.77133031, quoteVolume=13737995.19097, weightedAverage=2.7E-7]
PoloniexChartData [date=Mon Jun 13 20:00:00 EDT 2016, high=3.2E-7, low=2.2E-7, open=3.1E-7, close=2.8E-7, volume=1.05201483, quoteVolume=4158501.2669862, weightedAverage=2.5E-7]
PoloniexChartData [date=Tue Jun 14 20:00:00 EDT 2016, high=3.0E-7, low=2.5E-7, open=2.8E-7, close=2.8E-7, volume=0.35033331, quoteVolume=1305712.8174814, weightedAverage=2.6E-7]
PoloniexChartData [date=Wed Jun 15 20:00:00 EDT 2016, high=2.9E-7, low=2.6E-7, open=2.8E-7, close=2.6E-7, volume=0.19914692, quoteVolume=742695.38551044, weightedAverage=2.6E-7]
PoloniexChartData [date=Thu Jun 16 20:00:00 EDT 2016, high=2.7E-7, low=2.3E-7, open=2.7E-7, close=2.5E-7, volume=0.12968196, quoteVolume=533819.05078292, weightedAverage=2.4E-7]
PoloniexChartData [date=Fri Jun 17 20:00:00 EDT 2016, high=2.5E-7, low=2.4E-7, open=2.5E-7, close=2.5E-7, volume=0.06825321, quoteVolume=276484.42319578, weightedAverage=2.4E-7]
PoloniexChartData [date=Sat Jun 18 20:00:00 EDT 2016, high=3.1E-7, low=2.5E-7, open=2.5E-7, close=2.8E-7, volume=0.20503323, quoteVolume=741765.99249622, weightedAverage=2.7E-7]
PoloniexChartData [date=Sun Jun 19 20:00:00 EDT 2016, high=3.0E-7, low=2.7E-7, open=2.9E-7, close=2.8E-7, volume=0.11715554, quoteVolume=414526.26237995, weightedAverage=2.8E-7]
PoloniexChartData [date=Mon Jun 20 20:00:00 EDT 2016, high=3.0E-7, low=2.8E-7, open=2.8E-7, close=2.8E-7, volume=0.20218067, quoteVolume=688557.42733842, weightedAverage=2.9E-7]
PoloniexChartData [date=Tue Jun 21 20:00:00 EDT 2016, high=3.2E-7, low=2.6E-7, open=2.9E-7, close=3.0E-7, volume=0.35600024, quoteVolume=1242663.6790719, weightedAverage=2.8E-7]
PoloniexChartData [date=Wed Jun 22 20:00:00 EDT 2016, high=3.0E-7, low=2.8E-7, open=3.0E-7, close=2.8E-7, volume=0.04181866, quoteVolume=144192.77592483, weightedAverage=2.9E-7]
PoloniexChartData [date=Thu Jun 23 20:00:00 EDT 2016, high=3.0E-7, low=2.6E-7, open=2.9E-7, close=2.8E-7, volume=0.3379878, quoteVolume=1185527.2059561, weightedAverage=2.8E-7]
PoloniexChartData [date=Fri Jun 24 20:00:00 EDT 2016, high=2.7E-7, low=2.7E-7, open=2.7E-7, close=2.7E-7, volume=0.00137015, quoteVolume=5074.6618033, weightedAverage=2.7E-7]
PoloniexChartData [date=Sat Jun 25 20:00:00 EDT 2016, high=2.7E-7, low=2.6E-7, open=2.7E-7, close=2.6E-7, volume=0.06151897, quoteVolume=228060.0645346, weightedAverage=2.6E-7]
