PoloniexChartData [date=Sun Jun 05 20:00:00 EDT 2016, high=7.8E-7, low=7.1E-7, open=7.4E-7, close=7.5E-7, volume=381.89471099, quoteVolume=509421686.64553, weightedAverage=7.4E-7]
PoloniexChartData [date=Mon Jun 06 20:00:00 EDT 2016, high=0.00000118, low=7.5E-7, open=7.6E-7, close=0.00000101, volume=3104.1026874, quoteVolume=3123923537.3531, weightedAverage=9.9E-7]
PoloniexChartData [date=Tue Jun 07 20:00:00 EDT 2016, high=0.00000115, low=9.0E-7, open=0.00000101, close=9.4E-7, volume=1631.53227633, quoteVolume=1606024053.5956, weightedAverage=0.00000101]
PoloniexChartData [date=Wed Jun 08 20:00:00 EDT 2016, high=0.00000101, low=8.7E-7, open=9.5E-7, close=9.6E-7, volume=710.04532143, quoteVolume=753039911.6914, weightedAverage=9.4E-7]
PoloniexChartData [date=Thu Jun 09 20:00:00 EDT 2016, high=9.6E-7, low=8.3E-7, open=9.6E-7, close=8.4E-7, volume=432.88895869, quoteVolume=482947315.30788, weightedAverage=8.9E-7]
PoloniexChartData [date=Fri Jun 10 20:00:00 EDT 2016, high=9.4E-7, low=8.1E-7, open=8.4E-7, close=8.5E-7, volume=339.40506965, quoteVolume=392634034.78698, weightedAverage=8.6E-7]
PoloniexChartData [date=Sat Jun 11 20:00:00 EDT 2016, high=9.2E-7, low=7.7E-7, open=8.5E-7, close=8.5E-7, volume=608.56337334, quoteVolume=724205058.70162, weightedAverage=8.4E-7]
PoloniexChartData [date=Sun Jun 12 20:00:00 EDT 2016, high=9.2E-7, low=7.9E-7, open=8.6E-7, close=9.1E-7, volume=623.05108167, quoteVolume=724267718.3748, weightedAverage=8.6E-7]
PoloniexChartData [date=Mon Jun 13 20:00:00 EDT 2016, high=0.0000010, low=8.5E-7, open=9.0E-7, close=9.4E-7, volume=614.01794778, quoteVolume=654171707.3653, weightedAverage=9.3E-7]
PoloniexChartData [date=Tue Jun 14 20:00:00 EDT 2016, high=9.7E-7, low=9.2E-7, open=9.4E-7, close=9.3E-7, volume=234.26621213, quoteVolume=247640099.72853, weightedAverage=9.4E-7]
PoloniexChartData [date=Wed Jun 15 20:00:00 EDT 2016, high=0.00000113, low=8.9E-7, open=9.4E-7, close=0.0000011, volume=930.58122724, quoteVolume=918175396.54821, weightedAverage=0.00000101]
PoloniexChartData [date=Thu Jun 16 20:00:00 EDT 2016, high=0.00000134, low=0.0000010, open=0.0000011, close=0.00000129, volume=1783.24014549, quoteVolume=1496883654.0129, weightedAverage=0.00000119]
PoloniexChartData [date=Fri Jun 17 20:00:00 EDT 2016, high=0.00000133, low=0.00000104, open=0.00000129, close=0.0000011, volume=764.27615389, quoteVolume=663947753.99633, weightedAverage=0.00000115]
PoloniexChartData [date=Sat Jun 18 20:00:00 EDT 2016, high=0.00000125, low=0.00000106, open=0.0000011, close=0.00000122, volume=420.37961954, quoteVolume=361375712.05719, weightedAverage=0.00000116]
PoloniexChartData [date=Sun Jun 19 20:00:00 EDT 2016, high=0.00000124, low=0.00000114, open=0.0000012, close=0.00000122, volume=314.27894671, quoteVolume=262754846.79812, weightedAverage=0.00000119]
PoloniexChartData [date=Mon Jun 20 20:00:00 EDT 2016, high=0.00000124, low=0.00000112, open=0.00000122, close=0.0000012, volume=610.71960724, quoteVolume=519322808.22686, weightedAverage=0.00000117]
PoloniexChartData [date=Tue Jun 21 20:00:00 EDT 2016, high=0.00000151, low=0.00000115, open=0.0000012, close=0.0000015, volume=988.8659439, quoteVolume=740049022.75393, weightedAverage=0.00000133]
PoloniexChartData [date=Wed Jun 22 20:00:00 EDT 2016, high=0.00000154, low=0.00000137, open=0.00000149, close=0.00000144, volume=488.43024596, quoteVolume=337137102.76004, weightedAverage=0.00000144]
PoloniexChartData [date=Thu Jun 23 20:00:00 EDT 2016, high=0.00000147, low=0.00000121, open=0.00000144, close=0.00000136, volume=677.08393545, quoteVolume=503998526.92802, weightedAverage=0.00000134]
PoloniexChartData [date=Fri Jun 24 20:00:00 EDT 2016, high=0.00000177, low=0.00000129, open=0.00000136, close=0.00000173, volume=1141.37288794, quoteVolume=753632081.05081, weightedAverage=0.00000151]
PoloniexChartData [date=Sat Jun 25 20:00:00 EDT 2016, high=0.00000178, low=0.00000145, open=0.00000173, close=0.0000016, volume=1824.27590615, quoteVolume=1149260773.0376, weightedAverage=0.00000158]
PoloniexChartData [date=Sun Jun 26 20:00:00 EDT 2016, high=0.00000167, low=0.00000151, open=0.00000161, close=0.00000152, volume=983.91946376, quoteVolume=619312803.2864, weightedAverage=0.00000158]
PoloniexChartData [date=Mon Jun 27 20:00:00 EDT 2016, high=0.00000158, low=0.0000012, open=0.00000152, close=0.00000139, volume=1813.81508208, quoteVolume=1254765931.4371, weightedAverage=0.00000144]
PoloniexChartData [date=Tue Jun 28 20:00:00 EDT 2016, high=0.0000015, low=0.00000104, open=0.0000014, close=0.00000125, volume=1553.94405502, quoteVolume=1245782471.5238, weightedAverage=0.00000124]
PoloniexChartData [date=Wed Jun 29 20:00:00 EDT 2016, high=0.00000137, low=0.00000111, open=0.00000124, close=0.00000115, volume=687.91466134, quoteVolume=574932329.06098, weightedAverage=0.00000119]
PoloniexChartData [date=Thu Jun 30 20:00:00 EDT 2016, high=0.00000122, low=0.00000102, open=0.00000115, close=0.00000115, volume=571.16380746, quoteVolume=520349104.91444, weightedAverage=0.00000109]
PoloniexChartData [date=Fri Jul 01 20:00:00 EDT 2016, high=0.0000013, low=0.00000113, open=0.00000115, close=0.00000116, volume=498.41895143, quoteVolume=410250044.50867, weightedAverage=0.00000121]
PoloniexChartData [date=Sat Jul 02 20:00:00 EDT 2016, high=0.00000122, low=0.00000112, open=0.00000116, close=0.00000119, volume=249.52426174, quoteVolume=214620124.33373, weightedAverage=0.00000116]
PoloniexChartData [date=Sun Jul 03 20:00:00 EDT 2016, high=0.0000012, low=0.00000114, open=0.00000118, close=0.00000116, volume=168.20093809, quoteVolume=144580410.13291, weightedAverage=0.00000116]
PoloniexChartData [date=Mon Jul 04 20:00:00 EDT 2016, high=0.00000117, low=0.00000104, open=0.00000115, close=0.0000011, volume=445.47480508, quoteVolume=406199759.8302, weightedAverage=0.00000109]
PoloniexChartData [date=Tue Jul 05 20:00:00 EDT 2016, high=0.00000111, low=9.0E-7, open=0.00000111, close=9.9E-7, volume=361.94467665, quoteVolume=352244734.14211, weightedAverage=0.00000102]
PoloniexChartData [date=Wed Jul 06 20:00:00 EDT 2016, high=0.00000113, low=8.3E-7, open=9.9E-7, close=0.00000105, volume=543.05491307, quoteVolume=526297852.49454, weightedAverage=0.00000103]
PoloniexChartData [date=Thu Jul 07 20:00:00 EDT 2016, high=0.00000109, low=0.00000104, open=0.00000107, close=0.00000107, volume=100.38350389, quoteVolume=94203133.881307, weightedAverage=0.00000106]
PoloniexChartData [date=Fri Jul 08 20:00:00 EDT 2016, high=0.00000114, low=0.00000104, open=0.00000107, close=0.00000109, volume=128.15568967, quoteVolume=118178385.42164, weightedAverage=0.00000108]
PoloniexChartData [date=Sat Jul 09 20:00:00 EDT 2016, high=0.0000011, low=0.00000101, open=0.00000109, close=0.00000102, volume=139.9012529, quoteVolume=133050957.54253, weightedAverage=0.00000105]
PoloniexChartData [date=Sun Jul 10 20:00:00 EDT 2016, high=0.00000104, low=8.3E-7, open=0.00000103, close=9.5E-7, volume=501.95080618, quoteVolume=536333858.20202, weightedAverage=9.3E-7]
PoloniexChartData [date=Mon Jul 11 20:00:00 EDT 2016, high=9.7E-7, low=8.3E-7, open=9.6E-7, close=9.0E-7, volume=358.73452116, quoteVolume=397525452.7126, weightedAverage=9.0E-7]
PoloniexChartData [date=Tue Jul 12 20:00:00 EDT 2016, high=9.7E-7, low=8.6E-7, open=9.0E-7, close=9.5E-7, volume=214.97370842, quoteVolume=233205651.04289, weightedAverage=9.2E-7]
PoloniexChartData [date=Wed Jul 13 20:00:00 EDT 2016, high=0.00000113, low=9.2E-7, open=9.5E-7, close=0.00000112, volume=449.03488425, quoteVolume=435664880.8798, weightedAverage=0.00000103]
PoloniexChartData [date=Thu Jul 14 20:00:00 EDT 2016, high=0.00000122, low=0.00000104, open=0.00000112, close=0.00000117, volume=504.32874162, quoteVolume=444734813.49159, weightedAverage=0.00000113]
PoloniexChartData [date=Fri Jul 15 20:00:00 EDT 2016, high=0.00000118, low=0.00000107, open=0.00000117, close=0.0000011, volume=207.90768966, quoteVolume=186737962.82968, weightedAverage=0.00000111]
